idx1,idx2
2011,1847
1158,2834
2003,2746
416,2691
2059,2683
1784,2069
294,2850
1103,2202
1746,93
1496,61
1459,408
2037,2371
662,1067
1356,2567
1892,412
1913,2192
1341,2524
47,2865
1239,1838
2069,1950
1135,2046
824,2004
1481,59
574,1978
650,167
693,2689
975,2438
861,615
129,1749
1465,2307
1533,1130
836,2364
1545,1369
804,1514
1560,445
929,462
363,2711
936,2344
1891,2042
2062,2534
2001,43
385,2814
285,661
577,2117
1138,613
1273,429
469,454
652,1250
963,1780
1357,99
364,1829
1146,2130
1024,2024
200,2437
953,14
767,1172
1154,449
838,594
610,2393
1521,98
759,715
457,493
562,1827
150,2822
976,420
621,2407
526,2700
1230,2636
1575,2033
1771,1679
1532,85
464,2316
1558,2209
898,2428
2101,1819
548,1146
1780,2550
2034,2174
430,718
808,2390
1040,2633
1899,2070
2093,1935
521,2189
1453,2398
1541,1724
947,82
1570,2425
1748,1528
2105,2705
1829,1638
497,641
796,2020
1595,424
1486,2732
82,1975
876,1576
573,2706
2031,2387
587,2232
1397,2366
2099,801
1819,109
1168,148
1383,1793
856,327
283,694
1609,2105
607,2066
91,1921
1249,1835
1332,292
2044,2298
410,1408
1454,626
1822,2779
979,2239
1277,2427
2039,2484
23,217
714,1532
478,352
1938,1800
719,679
1223,2842
174,885
909,2237
1204,1287
412,155
1423,2494
1593,2002
1948,2729
476,1838
1439,2330
998,2099
1351,2595
1291,1943
591,2089
284,2692
1987,2549
788,1816
264,1959
392,2819
1256,2744
916,2266
145,668
1515,87
599,609
63,1389
713,1534
1553,2414
203,2186
553,4
1199,2596
802,416
783,1485
937,460
1490,35
568,105
142,1574
631,719
847,423
426,924
1258,2766
176,1981
2086,2131
2072,2196
575,2215
2021,610
1367,49
1282,2751
1321,198
1782,1990
201,289
1043,375
1269,1212
748,723
2028,2167
362,2722
143,877
1568,2038
1354,2832
1045,2900
1380,2741
189,2012
352,578
734,2895
552,2738
1482,430
728,1917
1949,2754
863,421
1571,2048
437,169
629,190
251,653
1569,2389
766,753
1193,1989
804,2177
396,2877
1332,2827
551,1704
1255,1820
2090,2505
614,2318
1585,383
2018,1842
1559,2051
2038,2580
207,358
622,308
1018,2379
1469,2135
1002,2291
333,2806
2151,1976
1552,2025
128,716
632,2693
1446,322
1186,1940
1355,2535
103,2879
212,2377
989,2185
178,923
2041,2081
198,2329
813,387
1044,2651
291,1739
1942,94
1413,647
1516,1828
920,2440
2040,2242
918,2403
2019,89
1855,2052
162,933
1864,2137
657,1958
2133,950
1775,79
179,1547
2010,1782
1172,454
1027,2022
1204,2621
775,2215
1083,116
1935,67
313,729
768,864
1197,1944
592,638
489,2123
2127,1585
698,1559
1858,2220
2013,782
1372,111
2104,820
1016,1989
169,1744
220,2055
820,393
585,2333
633,1061
1091,69
113,2868
815,2120
1052,1575
1874,2141
1990,1678
257,2881
789,1201
625,2261
1510,1226
1602,2392
1983,2843
2054,2229
2080,152
1024,2500
1436,2301
180,1214
809,333
531,1557
1287,2586
1009,543
687,1395
1869,2304
2146,1566
1981,2136
1866,2006
483,2010
1580,480
1875,285
420,2893
1113,456
194,2172
972,1685
1109,607
474,2082
2117,1071
1880,2290
1767,958
1107,2260
1475,2241
921,2249
1770,1786
1936,1180
384,180
259,2809
498,2151
1584,2269
913,2250
1744,1504
1994,1795
1012,2372
1111,2351
1036,2357
1102,2302
1831,1508
683,1909
32,1719
1833,13
1941,104
1425,447
652,2861
380,187
2152,2847
583,546
1174,2528
52,1404
503,2243
1060,211
1456,2097
181,880
1768,2777
1760,787
1473,465
1037,2149
624,439
1932,112
754,2849
1359,70
81,1588
29,1398
1146,2586
911,2311
685,1968
517,434
852,2490
197,343
499,2222
1157,2228
2029,2008
1950,1864
543,428
753,1729
1826,745
1508,63
490,537
465,2350
2050,2072
252,665
510,2358
1079,2774
2100,468
1982,2053
1213,150
567,1207
1455,2127
1998,11
1390,1236
851,2399
978,2439
2038,2196
1517,2753
1396,477
1467,2343
1534,2778
742,2878
890,1401
447,2143
540,2334
433,1979
1385,1788
1394,2102
1929,51
1507,1490
2033,2094
519,446
523,2811
1850,2009
229,464
830,2294
75,177
1266,789
177,682
2052,386
906,2060
2142,725
0,2892
358,2191
208,2103
883,206
1844,2199
372,2885
855,409
361,22
779,2750
1907,2376
1557,559
860,2415
484,2164
960,58
2123,1712
367,159
1331,2566
1159,2194
1188,2517
1057,2183
985,617
1419,2041
792,451
1062,46
780,68
1784,2511
506,353
603,2092
25,1069
1861,516
1117,2084
1137,2062
1195,2561
760,1523
1344,2626
1336,178
665,2862
438,605
688,1539
934,2354
1184,2874
101,1858
95,881
1115,2402
2066,2624
739,165
88,204
1976,2730
1963,1336
1183,2685
411,1531
300,2863
1074,1466
980,2213
2074,2829
935,2327
654,1410
1758,5
878,2695
308,2808
1208,2570
1384,1484
1493,2739
2058,153
1178,2584
1958,969
1068,2712
1512,1526
1011,457
1161,2122
1773,1826
1171,2544
1259,1870
1265,867
1437,2142
1505,848
1217,2547
1761,2760
1497,2830
102,1548
35,1229
319,1891
1435,640
456,468
991,483
1600,484
226,2114
1885,2273
1576,355
938,2170
1008,2265
223,2224
965,2718
1073,36
441,2303
436,876
2023,293
305,164
584,482
893,2140
1827,1815
1851,2401
899,2479
260,1589
1398,2168
278,1908
2026,425
221,2277
415,156
2000,961
1527,1495
1010,487
1763,50
570,2775
139,373
846,2221
302,1977
1970,7
140,2818
1276,2299
1346,2772
1478,39
513,2133
1988,2132
1014,2155
546,1821
2025,2279
931,2157
1190,2646
857,2207
210,410
1124,2408
2049,2263
1209,2515
819,2217
262,951
99,170
1361,1862
1187,1938
1073,412
90,1927
1139,357
997,2488
270,173
1327,2628
454,2325
1064,1351
1039,2835
576,2436
1445,2476
1096,107
445,2626
153,1960
1081,1790
901,2268
2015,2713
613,2475
1182,2632
40,1530
1228,2519
2100,84
595,2426
387,182
1543,1856
1300,1949
448,686
2012,614
338,2886
307,189
101,1890
1078,72
837,2489
159,1379
928,621
1824,41
1816,37
982,2435
729,677
618,437
1320,2844
1059,2394
1198,2589
544,1799
1061,2211
659,1413
85,1406
502,2332
1202,2600
1608,515
1448,2512
225,519
1765,53
2134,2696
1565,2359
1008,2176
905,628
2090,2100
541,2337
2081,2625
185,2144
1500,19
