paperId_dblp,title_dblp,authors_dblp,venue_dblp,year_dblp,cleaned_title_dblp,cleaned_authors_dblp,index_dblp
53e9a09fb7602d97029891c2,Wrapper Generation for Semi-structured Internet Sources.,"Naveen Ashish, Craig A. Knoblock",SIGMOD Record,1997,wrapper generation for semi structured internet sources,naveen ashish craig a knoblock,422
53e9a8b7b7602d9703205ca8,Focused Crawling Using Context Graphs.,"Michelangelo Diligenti, Frans Coetzee, Steve Lawrence, C. Lee Giles, Marco Gori",VLDB,2000,focused crawling using context graphs,michelangelo diligenti frans coetzee steve lawrence c lee giles marco gori,2023
53e9b17ab7602d9703c03ddb,Knowledge Discovery in Data Warehouses.,Themistoklis Palpanas,SIGMOD Record,2000,knowledge discovery in data warehouses,themistoklis palpanas,863
53e9abdfb7602d9703596db3,Update Propagation Strategies to Improve Freshness in Lazy Master Replicated Databases.,"Esther Pacitti, Eric Simon",VLDB J.,2000,update propagation strategies to improve freshness in lazy master replicated databases,esther pacitti eric simon,1316
53e9b289b7602d9703d2f078,Local Dimensionality Reduction: A New Approach to Indexing High Dimensional Spaces.,"Kaushik Chakrabarti, Sharad Mehrotra",VLDB,2000,local dimensionality reduction a new approach to indexing high dimensional spaces,kaushik chakrabarti sharad mehrotra,817
53e9b469b7602d9703f675f1,Discovery of Influence Sets in Frequently Updated Databases.,"Ioana Stanoi, Mirek Riedewald, Divyakant Agrawal, Amr El Abbadi",VLDB,2001,discovery of influence sets in frequently updated databases,ioana stanoi mirek riedewald divyakant agrawal amr el abbadi,1407
53e9a263b7602d9702b68f8b,"Highly-Available, Fault-Tolerant, Parallel Dataflows.","Mehul A. Shah, Joseph M. Hellerstein, Eric A. Brewer",SIGMOD Conference,2004,highly available fault tolerant parallel dataflows,mehul a shah joseph m hellerstein eric a brewer,1905
53e9b991b7602d970457f9f7,SPIRE: A Progressive Content-Based Spatial Image Retrieval Engine.,"Chung-Sheng Li, Lawrence D. Bergman, Vittorio Castelli, John R. Smith",SIGMOD Conference,2000,spire a progressive content based spatial image retrieval engine,chung sheng li lawrence d bergman vittorio castelli john r smith,737
53e99fb5b7602d9702891957,"Ratio Rules: A New Paradigm for Fast, Quantifiable Data Mining.","Flip Korn, Alexandros Labrinidis, Yannis Kotidis, Christos Faloutsos",VLDB,1998,ratio rules a new paradigm for fast quantifiable data mining,flip korn alexandros labrinidis yannis kotidis christos faloutsos,1423
53e9b666b7602d97041c780c,Lifestreams: A Storage Model for Personal Data.,"Eric Freeman, David Gelernter",SIGMOD Record,1996,lifestreams a storage model for personal data,eric freeman david gelernter,310
53e9a308b7602d9702c1287d,Catching the Boat with Strudel: Experiences with a Web-Site Management System.,"Mary F. Fernández, Daniela Florescu, Jaewoo Kang, Alon Y. Levy, Dan Suciu",SIGMOD Conference,1998,catching the boat with strudel experiences with a web site management system,mary f fern ndez daniela florescu jaewoo kang alon y levy dan suciu,1946
53e9ace9b7602d97036c89a1,A Scalable and Highly Available Networked Database Architecture.,"Roger Bamford, Rafiul Ahad, Angelo Pruscino",VLDB,1999,a scalable and highly available networked database architecture,roger bamford rafiul ahad angelo pruscino,2019
53e99ccab7602d9702580d16,Efficient Support for Interactive Service in Multi-Resolution VOD Systems.,"Kelvin Kwok-Wai Law, John C. S. Lui, Leana Golubchik",VLDB J.,1999,efficient support for interactive service in multi resolution vod systems,kelvin kwok wai law john c s lui leana golubchik,2045
53e99a2bb7602d97022870b8,Oracle8i Index-Organized Table and Its Application to New Domains.,"Jagannathan Srinivasan, Souripriya Das, Chuck Freiwald, Eugene Inseok Chong, Mahesh Jagannath, Aravind Yalamanchi, Ramkumar Krishnan, Anh-Tuan Tran, Samuel DeFazio, Jayanta Banerjee",VLDB,2000,oracle8i index organized table and its application to new domains,jagannathan srinivasan souripriya das chuck freiwald eugene inseok chong mahesh jagannath aravind yalamanchi ramkumar krishnan anh tuan tran samuel defazio jayanta banerjee,1418
53e9b40eb7602d9703f03182,Extraction of Object-Oriented Structures from Existing Relational Databases.,"Shekar Ramanathan, Julia E. Hodges",SIGMOD Record,1997,extraction of object oriented structures from existing relational databases,shekar ramanathan julia e hodges,98
53e9ab69b7602d9703504df3,A Theory of Redo Recovery.,"David B. Lomet, Mark R. Tuttle",SIGMOD Conference,2003,a theory of redo recovery,david b lomet mark r tuttle,1794
53e9b701b7602d970429aca2,VideoAnywhere: A System for Searching and Managing Distributed Video Assets.,"Amit P. Sheth, Clemens Bertram, Kshitij Shah",SIGMOD Record,1999,videoanywhere a system for searching and managing distributed video assets,amit p sheth clemens bertram kshitij shah,29
53e99809b7602d970201f8e3,Chair's Message.,Richard T. Snodgrass,SIGMOD Record,1999,chair s message,richard t snodgrass,653
53e9b3c8b7602d9703eb6386,SIGMOD'2000 Program Chair's Message.,Jeffrey F. Naughton,SIGMOD Record,2000,sigmod 2000 program chair s message,jeffrey f naughton,708
53e99a4eb7602d97022b2d1f,An Orthogonally Persistent Java.,"Malcolm P. Atkinson, Laurent Daynès, Mick J. Jordan, Tony Printezis, Susan Spence",SIGMOD Record,1996,an orthogonally persistent java,malcolm p atkinson laurent dayn s mick j jordan tony printezis susan spence,155
53e9b3cdb7602d9703eb764a,Review - Physical Database Design for Relational Databases.,Surajit Chaudhuri,ACM SIGMOD Digital Review,2000,review physical database design for relational databases,surajit chaudhuri,1606
53e9b572b7602d97040ab9f1,The Microsoft Database Research Group.,"David B. Lomet, Roger S. Barga, Surajit Chaudhuri, Per-Åke Larson, Vivek R. Narasayya",SIGMOD Record,1998,the microsoft database research group,david b lomet roger s barga surajit chaudhuri per ke larson vivek r narasayya,2111
53e99fe4b7602d97028c009a,Java and Relational Databases: SQLJ (Tutorial).,"Gray Clossman, Phil Shaw, Mark Hapner, Johannes Klein, Richard Pledereder, Brian Becker",SIGMOD Conference,1998,java and relational databases sqlj tutorial,gray clossman phil shaw mark hapner johannes klein richard pledereder brian becker,1458
53e9ac89b7602d970365fef8,Design and User Testing of a Multi-Paradigm Query Interface to an Object-Oriented Database.,"Dac Khoa Doan, Norman W. Paton, Alistair C. Kilgour",SIGMOD Record,1995,design and user testing of a multi paradigm query interface to an object oriented database,dac khoa doan norman w paton alistair c kilgour,697
53e9a0adb7602d9702997364,Implementing a Scalable XML Publish/Subscribe System Using a Relational Database System.,"Feng Tian, Berthold Reinwald, Hamid Pirahesh, Tobias Mayr, Jussi Myllymaki",SIGMOD Conference,2004,implementing a scalable xml publish subscribe system using a relational database system,feng tian berthold reinwald hamid pirahesh tobias mayr jussi myllymaki,1723
53e9a0cab7602d97029b2830,Review - DynaMat: A Dynamic View Management System for Data Warehouses.,Krithi Ramamritham,ACM SIGMOD Digital Review,2000,review dynamat a dynamic view management system for data warehouses,krithi ramamritham,1686
53e9a0dfb7602d97029cc300,Agent-Based Semantic Interoperability in InfoSleuth.,"Jerry Fowler, Brad Perry, Marian H. Nodine, Bruce Bargmeyer",SIGMOD Record,1999,agent based semantic interoperability in infosleuth,jerry fowler brad perry marian h nodine bruce bargmeyer,861
53e997e9b7602d9701fe4373,Business System 12,Hugh Darwen,ACM SIGMOD Anthology,2001,business system 12,hugh darwen,342
53e9b54fb7602d9704085737,Spatio-Temporal Retrieval with RasDaMan.,"Peter Baumann, Andreas Dehmel, Paula Furtado, Roland Ritsch, Norbert Widmann",VLDB,1999,spatio temporal retrieval with rasdaman,peter baumann andreas dehmel paula furtado roland ritsch norbert widmann,501
53e9ac55b7602d9703627eab,"Mining database structure; or, how to build a data quality browser.","Tamraparni Dasu, Theodore Johnson, S. Muthukrishnan, Vladislav Shkapenyuk",SIGMOD Conference,2002,mining database structure or how to build a data quality browser,tamraparni dasu theodore johnson s muthukrishnan vladislav shkapenyuk,761
53e9b31bb7602d9703de49f9,Efficient Search of Multi-Dimensional B-Trees.,"Harry Leslie, Rohit Jain, Dave Birdsall, Hedieh Yaghmai",VLDB,1995,efficient search of multi dimensional b trees,harry leslie rohit jain dave birdsall hedieh yaghmai,1529
53e99f69b7602d970283b34d,"Information, Communication, and Money: For What Can We Charge and How Can We Meter It?","Stephen Blott, Henry F. Korth, Abraham Silberschatz",VLDB,1998,information communication and money for what can we charge and how can we meter it,stephen blott henry f korth abraham silberschatz,1451
53e99809b7602d970201f94d,Chair's Message.,Richard T. Snodgrass,SIGMOD Record,1997,chair s message,richard t snodgrass,525
53e99aacb7602d9702325e7b,Guest Editor's Introduction.,Asuman Dogac,SIGMOD Record,1998,guest editor s introduction,asuman dogac,117
53e99ad0b7602d97023502b2,Cost-Based Labeling of Groups of Mass Spectra.,"Lei Chen 0003, Zheng Huang, Raghu Ramakrishnan",SIGMOD Conference,2004,cost based labeling of groups of mass spectra,lei chen 0003 zheng huang raghu ramakrishnan,2031
53e9b321b7602d9703dede5b,Improving Adaptable Similarity Query Processing by Using Approximations.,"Mihael Ankerst, Bernhard Braunmüller, Hans-Peter Kriegel, Thomas Seidl",VLDB,1998,improving adaptable similarity query processing by using approximations,mihael ankerst bernhard braunm ller hans peter kriegel thomas seidl,1120
53e9b2c6b7602d9703d7208e,Weaving Relations for Cache Performance.,"Anastassia Ailamaki, David J. DeWitt, Mark D. Hill, Marios Skounakis",VLDB,2001,weaving relations for cache performance,anastassia ailamaki david j dewitt mark d hill marios skounakis,1376
53e9b30ab7602d9703dd0dc1,The BEA/XQRL Streaming XQuery Processor.,"Daniela Florescu, Chris Hillery, Donald Kossmann, Paul Lucas, Fabio Riccardi, Till Westmann, Michael J. Carey, Arvind Sundararajan, Geetika Agrawal",VLDB,2003,the bea xqrl streaming xquery processor,daniela florescu chris hillery donald kossmann paul lucas fabio riccardi till westmann michael j carey arvind sundararajan geetika agrawal,1089
53e99d21b7602d97025d4bcd,An Annotated Bibliography of Benchmarks for Object Databases.,Akmal B. Chaudhri,SIGMOD Record,1995,an annotated bibliography of benchmarks for object databases,akmal b chaudhri,282
53e99ed1b7602d970279a364,Clustering Objects on a Spatial Network.,"Man Lung Yiu, Nikos Mamoulis",SIGMOD Conference,2004,clustering objects on a spatial network,man lung yiu nikos mamoulis,1496
53e9bc2db7602d970489c13e,Guest Editorial: Databases and the Web.,"Paolo Atzeni, Alberto O. Mendelzon",VLDB J.,2000,guest editorial databases and the web,paolo atzeni alberto o mendelzon,1185
53e99b0ab7602d970239bff2,Extracting Large Data Sets using DB2 Parallel Edition.,Sriram Padmanabhan,VLDB,1996,extracting large data sets using db2 parallel edition,sriram padmanabhan,197
53e9ba0bb7602d970460b352,Review - Datawarehousing Has More Colours Than Just Black & White.,H. V. Jagadish,ACM SIGMOD Digital Review,1999,review datawarehousing has more colours than just black white,h v jagadish,1613
53e9a089b7602d970296fc90,Implementation and Analysis of a Parallel Collection Query Language.,Dan Suciu,VLDB,1996,implementation and analysis of a parallel collection query language,dan suciu,498
53e9a38fb7602d9702c9cabd,Managing Business Processes via Workflow Technology.,Frank Leymann,VLDB,2001,managing business processes via workflow technology,frank leymann,1563
53e9984fb7602d970208510b,Treasurer's Message.,Joachim Hammer,SIGMOD Record,2001,treasurer s message,joachim hammer,655
53e9a060b7602d970294835d,PTool: A Light Weight Persistent Object Manager.,"Robert L. Grossman, David Hanley, Xiao Qin",SIGMOD Conference,1995,ptool a light weight persistent object manager,robert l grossman david hanley xiao qin,1467
53e9b6cab7602d9704253c3e,The Ins and Outs (and Everthing in Between) of Data Warehousing.,"Phillip M. Fernandez, Donovan A. Schneider",SIGMOD Conference,1996,the ins and outs and everthing in between of data warehousing,phillip m fernandez donovan a schneider,2070
53e999ffb7602d9702247e35,Computing Iceberg Queries Efficiently.,"Min Fang, Narayanan Shivakumar, Hector Garcia-Molina, Rajeev Motwani, Jeffrey D. Ullman",VLDB,1998,computing iceberg queries efficiently,min fang narayanan shivakumar hector garcia molina rajeev motwani jeffrey d ullman,246
53e9b30ab7602d9703dd20e6,Exploiting statistics on query expressions for optimization.,"Nicolas Bruno, Surajit Chaudhuri",SIGMOD Conference,2002,exploiting statistics on query expressions for optimization,nicolas bruno surajit chaudhuri,1738
53e9af40b7602d970397d55a,Integrating Vertical and Horizontal Partitioning Into Automated Physical Database Design.,"Sanjay Agrawal, Vivek R. Narasayya, Beverly Yang",SIGMOD Conference,2004,integrating vertical and horizontal partitioning into automated physical database design,sanjay agrawal vivek r narasayya beverly yang,930
53e99a26b7602d9702280826,Database Principles Column - Introduction.,Leonid Libkin,SIGMOD Record,1999,database principles column introduction,leonid libkin,17
53e9b9a6b7602d97045987b1,Yoo-Hoo! Building a Presence Service with XQuery and WSDL.,"Mary F. Fernández, Nicola Onose, Jérôme Siméon",SIGMOD Conference,2004,yoo hoo building a presence service with xquery and wsdl,mary f fern ndez nicola onose j r me sim on,757
53e9a52cb7602d9702e4eaeb,Chip-Secured Data Access: Reconciling Access Rights with Data Encryption.,"Luc Bouganim, François Dang Ngoc, Philippe Pucheral, Lilan Wu",VLDB,2003,chip secured data access reconciling access rights with data encryption,luc bouganim fran ois dang ngoc philippe pucheral lilan wu,570
53e998fdb7602d970213c32c,From Data Independence to Knowledge Independence: An on-going Story.,Laurent Vieille,VLDB,1998,from data independence to knowledge independence an on going story,laurent vieille,2015
53e9b337b7602d9703e0affd,SIT-IN: a Real-Life Spatio-Temporal Information System.,"Giuseppe Sindoni, Leonardo Tininini, Amedea Ambrosetti, Cristina Bedeschi, Stefano De Francisci, Orietta Gargano, Rossella Molinaro, Mario Paolucci, Paola Patteri, Pina Ticca",VLDB,2001,sit in a real life spatio temporal information system,giuseppe sindoni leonardo tininini amedea ambrosetti cristina bedeschi stefano de francisci orietta gargano rossella molinaro mario paolucci paola patteri pina ticca,1834
53e9a186b7602d9702a7bb6d,WebDB '98: International Workshop on the Web and Databases.,"Paolo Atzeni, Alberto O. Mendelzon",SIGMOD Record,1998,webdb 98 international workshop on the web and databases,paolo atzeni alberto o mendelzon,96
53e9ac95b7602d970366c00c,Experiences with a Logic-based knowledge discovery Support Environment.,"Fosca Giannotti, Giuseppe Manco, Dino Pedreschi, Franco Turini",1999 ACM SIGMOD Workshop on Research Issues in Data Mining and Knowledge Discovery,1999,experiences with a logic based knowledge discovery support environment,fosca giannotti giuseppe manco dino pedreschi franco turini,1765
53e9b8dab7602d97044bba1a,Structured Document Storage and Refined Declarative and Navigational Access Mechanisms in HyperStorM.,"Klemens Böhm, Karl Aberer, Erich J. Neuhold, Xiaoya Yang",VLDB J.,1997,structured document storage and refined declarative and navigational access mechanisms in hyperstorm,klemens b hm karl aberer erich j neuhold xiaoya yang,1184
53e9b6e8b7602d9704278b3a,A Workflow-based Electronic Marketplace on the Web.,"Asuman Dogac, Ilker Durusoy, Sena Nural Arpinar, Nesime Tatbul, Pinar Koksal, Ibrahim Cingil, Nazife Dimililer",SIGMOD Record,1998,a workflow based electronic marketplace on the web,asuman dogac ilker durusoy sena nural arpinar nesime tatbul pinar koksal ibrahim cingil nazife dimililer,1520
53e99b26b7602d97023beb7a,Parallel Database Systems 101.,Jim Gray,SIGMOD Conference,1995,parallel database systems 101,jim gray,1951
53e9a091b7602d970297bf92,"The ClustRa Telecom Database: High Availability, High Throughput, and Real-Time Response.","Svein-Olaf Hvasshovd, Øystein Torbjørnsen, Svein Erik Bratsberg, Per Holager",VLDB,1995,the clustra telecom database high availability high throughput and real time response,svein olaf hvasshovd ystein torbj rnsen svein erik bratsberg per holager,1999
53e99a92b7602d970230722d,Industrial-Strength Schema Matching.,"Philip A. Bernstein, Sergey Melnik, Michalis Petropoulos, Christoph Quix",SIGMOD Record,2004,industrial strength schema matching,philip a bernstein sergey melnik michalis petropoulos christoph quix,1896
53e99dc5b7602d970268349c,Composing XSL Transformations with XML Publishing Views.,"Chengkai Li, Philip Bohannon, Henry F. Korth, P. P. S. Narayan",SIGMOD Conference,2003,composing xsl transformations with xml publishing views,chengkai li philip bohannon henry f korth p p s narayan,1218
53e9ae22b7602d9703836aa0,UniSQL's Next-Generation Object-Relational Database Management System.,"Albert D'Andrea, Phil Janus",SIGMOD Record,1996,unisql s next generation object relational database management system,albert d andrea phil janus,173
53e9b740b7602d97042da0da,Broadcast Disks: Data Management for Asymmetric Communications Environments.,"Swarup Acharya, Rafael Alonso, Michael J. Franklin, Stanley B. Zdonik",SIGMOD Conference,1995,broadcast disks data management for asymmetric communications environments,swarup acharya rafael alonso michael j franklin stanley b zdonik,947
53e998f6b7602d9702136b34,Fast Time Sequence Indexing for Arbitrary Lp Norms.,"Byoung-Kee Yi, Christos Faloutsos",VLDB,2000,fast time sequence indexing for arbitrary lp norms,byoung kee yi christos faloutsos,834
53e9b260b7602d9703d032af,Parallel Query Scheduling and Optimization with Time- and Space-Shared Resources.,"Minos N. Garofalakis, Yannis E. Ioannidis",VLDB,1997,parallel query scheduling and optimization with time and space shared resources,minos n garofalakis yannis e ioannidis,1824
53e99cf5b7602d97025ac21a,ACDN: a content delivery network for applications.,"Pradnya Karbhari, Michael Rabinovich, Zhen Xiao, Fred Douglis",SIGMOD Conference,2002,acdn a content delivery network for applications,pradnya karbhari michael rabinovich zhen xiao fred douglis,1489
53e9a19bb7602d9702a8efe4,The Design and Implementation of K: A High-Level Knowledge-Base Programming Language of OSAM*.KBMS.,"Yuh-Ming Shyy, Javier Arroyo, Stanley Y. W. Su, Herman Lam",VLDB J.,1996,the design and implementation of k a high level knowledge base programming language of osam kbms,yuh ming shyy javier arroyo stanley y w su herman lam,2066
53e9a5a1b7602d9702ecaff5,SAP R/3: A Database Application System (Tutorial).,"Alfons Kemper, Donald Kossmann, Florian Matthes",SIGMOD Conference,1998,sap r 3 a database application system tutorial,alfons kemper donald kossmann florian matthes,1910
53e9a855b7602d970319f23b,Evaluating Top-k Selection Queries.,"Surajit Chaudhuri, Luis Gravano",VLDB,1999,evaluating top k selection queries,surajit chaudhuri luis gravano,991
53e9a50fb7602d9702e3050d,Matching Database Access Patterns to Storage Characteristics.,Jiri Schindler,VLDB PhD Workshop,2003,matching database access patterns to storage characteristics,jiri schindler,592
53e9ba49b7602d970465bc70,Are Web Services the Next Revolution in e-Commerce? (Panel).,"Shalom Tsur, Serge Abiteboul, Rakesh Agrawal, Umeshwar Dayal, Johannes Klein, Gerhard Weikum",VLDB,2001,are web services the next revolution in e commerce panel,shalom tsur serge abiteboul rakesh agrawal umeshwar dayal johannes klein gerhard weikum,208
53e99a8bb7602d97022fd9b9,Land below a DBMS.,"Kaladhar Voruganti, Jai Menon, Sandeep Gopisetty",SIGMOD Record,2004,land below a dbms,kaladhar voruganti jai menon sandeep gopisetty,103
53e9b145b7602d9703bcaa1e,XBase: making your gigabyte disk queriable.,"Hongjun Lu, Guoren Wang, Ge Yu, Yubin Bao, Jianhua Lv, Yaxin Yu",SIGMOD Conference,2002,xbase making your gigabyte disk queriable,hongjun lu guoren wang ge yu yubin bao jianhua lv yaxin yu,938
53e9aff5b7602d9703a4cdbd,The Semantic Web Paving the Way to the Knowledge Society.,Pierre-Paul Sondag,VLDB,2001,the semantic web paving the way to the knowledge society,pierre paul sondag,496
53e9bbeab7602d970483efb6,Data streams: fresh current or stagnant backwater? (panel).,"Joseph M. Hellerstein, Jennifer Widom",SIGMOD Conference,2002,data streams fresh current or stagnant backwater panel,joseph m hellerstein jennifer widom,1470
53e99b0fb7602d970239f062,Review - Replication and Mobility.,Ouri Wolfson,ACM SIGMOD Digital Review,2000,review replication and mobility,ouri wolfson,1674
53e9abb2b7602d970355e027,Delivering Presentations from Multimedia Servers.,"Nevzat Hurkan Balkir, Gultekin Özsoyoglu",VLDB J.,1998,delivering presentations from multimedia servers,nevzat hurkan balkir gultekin zsoyoglu,1289
53e9a308b7602d9702c0f941,On a Hierarchical Indexing Fuzzy Content-Based Image Retrieval Approach.,Krisztian Vereb,VLDB PhD Workshop,2003,on a hierarchical indexing fuzzy content based image retrieval approach,krisztian vereb,210
53e9a92ab7602d970327bfd9,Monitoring Business Processes through Event Correlation based on Dependency Model.,"Asaf Adi, David Botzer, Opher Etzion, Tali Yatzkar-Haham",SIGMOD Conference,2001,monitoring business processes through event correlation based on dependency model,asaf adi david botzer opher etzion tali yatzkar haham,1745
53e9a0eeb7602d97029d912e,Supply Chain Infrastructures: System Integration and Information Sharing.,"Michael O. Ball, Meng Ma, Louiqa Raschid, Zhengying Zhao",SIGMOD Record,2002,supply chain infrastructures system integration and information sharing,michael o ball meng ma louiqa raschid zhengying zhao,517
53e9a4a3b7602d9702dc661d,State-of-the-art in privacy preserving data mining.,"Vassilios S. Verykios, Elisa Bertino, Igor Nai Fovino, Loredana Parasiliti Provenza, Yücel Saygin, Yannis Theodoridis",SIGMOD Record,2004,state of the art in privacy preserving data mining,vassilios s verykios elisa bertino igor nai fovino loredana parasiliti provenza y cel saygin yannis theodoridis,2099
53e9997eb7602d97021bd8fd,Emergence and Convergence: Qualitative Novelty and the Unity of Knowledge By Mario Bunge.,Haim Kilov,SIGMOD Record,2004,emergence and convergence qualitative novelty and the unity of knowledge by mario bunge,haim kilov,1029
53e9984bb7602d970207a805,Workflow History Management.,"Pinar Koksal, Sena Nural Arpinar, Asuman Dogac",SIGMOD Record,1998,workflow history management,pinar koksal sena nural arpinar asuman dogac,295
53e9a67cb7602d9702fae348,"The Five-Minute Rule Ten Years Later, and Other Computer Storage Rules of Thumb.","Jim Gray, Goetz Graefe",SIGMOD Record,1997,the five minute rule ten years later and other computer storage rules of thumb,jim gray goetz graefe,643
53e9b648b7602d97041a5efe,"Review - Physical Data Independence, Constraints, and Optimization with Universal Plans",Laura M. Haas,ACM SIGMOD Digital Review,1999,review physical data independence constraints and optimization with universal plans,laura m haas,1595
53e99838b7602d9702060008,Online dynamic reordering.,"Vijayshankar Raman, Bhaskaran Raman, Joseph M. Hellerstein",VLDB J.,2000,online dynamic reordering,vijayshankar raman bhaskaran raman joseph m hellerstein,2046
53e99aacb7602d9702325e77,Guest Editor's Introduction.,"Robert Meersman, Amit P. Sheth",SIGMOD Record,2002,guest editor s introduction,robert meersman amit p sheth,726
53e9aa3ab7602d97033a786d,Building Database-driven Electronic Catalogs.,Sherif Danish,SIGMOD Record,1998,building database driven electronic catalogs,sherif danish,868
53e9a8ffb7602d970325106d,SPIRIT: Sequential Pattern Mining with Regular Expression Constraints.,"Minos N. Garofalakis, Rajeev Rastogi, Kyuseok Shim",VLDB,1999,spirit sequential pattern mining with regular expression constraints,minos n garofalakis rajeev rastogi kyuseok shim,1014
