paperId_acm,title_acm,authors_acm,venue_acm,year_acm,cleaned_title_acm,cleaned_authors_acm,index_acm
53908d6520f70186a0dd1a06,On schema matching with opaque column names and data values,"Jaewoo Kang, Jeffrey F. Naughton",Proceedings of the 2003 ACM SIGMOD international conference on Management of data,2003,on schema matching with opaque column names and data values,jaewoo kang jeffrey f naughton,2717
53908a9720f70186a0da69ff,Data Integration Using Web Services,"Mark Hansen, Stuart E. Madnick, Michael Siegel",Proceedings of the VLDB 2002 Workshop EEXTT and CAiSE 2002 Workshop DTWeb on Efficiency and Effectiveness of XML Tools and Techniques and Data Integration over the Web-Revised Papers,2003,data integration using web services,mark hansen stuart e madnick michael siegel,2460
53909f8c20f70186a0e401cb,Resilient rights protection for sensor streams,"Radu Sion, Mikhail Atallah, Sunil Prabhakar",VLDB '04 Proceedings of the Thirtieth international conference on Very large data bases - Volume 30,2004,resilient rights protection for sensor streams,radu sion mikhail atallah sunil prabhakar,540
539087cf20f70186a0d5b531,Design and user testing of a multi-paradigm query interface to an object-oriented database,"Dac Khoa Doan, Norman W. Paton, Alistair Kilgour",ACM SIGMOD Record,1995,design and user testing of a multi paradigm query interface to an object oriented database,dac khoa doan norman w paton alistair kilgour,679
539089bb20f70186a0d98ad2,Realm-based spatial data types: the ROSE algebra,"Ralf Hartmut Güting, Markus Schneider",The VLDB Journal — The International Journal on Very Large Data Bases,1995,realm based spatial data types the rose algebra,ralf hartmut g ting markus schneider,1947
539087d420f70186a0d5df26,Broadcast disks: data management for asymmetric communication environments,"Swarup Acharya, Rafael Alonso, Michael Franklin, Stanley Zdonik",SIGMOD '95 Proceedings of the 1995 ACM SIGMOD international conference on Management of data,1995,broadcast disks data management for asymmetric communication environments,swarup acharya rafael alonso michael franklin stanley zdonik,761
53908d6520f70186a0dd1a29,A comprehensive XQuery to SQL translation using dynamic interval encoding,"David DeHaan, David Toman, Mariano P. Consens, M. Tamer Özsu",Proceedings of the 2003 ACM SIGMOD international conference on Management of data,2003,a comprehensive xquery to sql translation using dynamic interval encoding,david dehaan david toman mariano p consens m tamer zsu,2748
5390880220f70186a0d75f06,WSQ/DSQ: a practical approach for combined querying of databases and the Web,"Roy Goldman, Jennifer Widom",SIGMOD '00 Proceedings of the 2000 ACM SIGMOD international conference on Management of data,2000,wsq dsq a practical approach for combined querying of databases and the web,roy goldman jennifer widom,1463
539087eb20f70186a0d6a443,The ins and outs (and everything in between) of data warehousing,"Phil Fernandez, Donovan Schneider",SIGMOD '96 Proceedings of the 1996 ACM SIGMOD international conference on Management of data,1996,the ins and outs and everything in between of data warehousing,phil fernandez donovan schneider,1210
53909f8c20f70186a0e401f3,Managing data from high-throughput genomic processing: a case study,"Toby Bloom, Ted Sharpe",VLDB '04 Proceedings of the Thirtieth international conference on Very large data bases - Volume 30,2004,managing data from high throughput genomic processing a case study,toby bloom ted sharpe,647
53909f6920f70186a0e3a964,"Wireless graffiti: data, data everywhere","Tomasz Imielinski, Badri Nath",VLDB '02 Proceedings of the 28th international conference on Very Large Data Bases,2002,wireless graffiti data data everywhere,tomasz imielinski badri nath,275
53908b4920f70186a0dbb09c,Speeding up construction of PMR quadtree-based spatial indexes,"Gisli R. Hjaltason, Hanan Samet",The VLDB Journal — The International Journal on Very Large Data Bases,2002,speeding up construction of pmr quadtree based spatial indexes,gisli r hjaltason hanan samet,2650
5390972920f70186a0dface8,Web-CAM: monitoring the dynamic Web to respond to continual queries,"Shaveen Garg, Krithi Ramamritham, Soumen Chakrabarti",SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,web cam monitoring the dynamic web to respond to continual queries,shaveen garg krithi ramamritham soumen chakrabarti,55
53908a9620f70186a0da4724,Comparing Hierarchical Data in External Memory,Sudarshan S. Chawathe,VLDB '99 Proceedings of the 25th International Conference on Very Large Data Bases,1999,comparing hierarchical data in external memory,sudarshan s chawathe,2187
5390880220f70186a0d75f35,From browsing to interacting: DBMS support for responsive websites,Raghu Ramakrishnan,SIGMOD '00 Proceedings of the 2000 ACM SIGMOD international conference on Management of data,2000,from browsing to interacting dbms support for responsive websites,raghu ramakrishnan,1481
5390972920f70186a0dfaca7,iMAP: discovering complex semantic matches between database schemas,"Robin Dhamankar, Yoonkyong Lee, AnHai Doan, Alon Halevy, Pedro Domingos",SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,imap discovering complex semantic matches between database schemas,robin dhamankar yoonkyong lee anhai doan alon halevy pedro domingos,27
53909f6920f70186a0e3a991,Using latency-recency profiles for data delivery on the web,"Laura Bright, Louiqa Raschid",VLDB '02 Proceedings of the 28th international conference on Very Large Data Bases,2002,using latency recency profiles for data delivery on the web,laura bright louiqa raschid,311
539087e720f70186a0d6968b,"Developing a high traffic, read-only Web site","John Nauman, Ray Suorsa",SIGMOD '98 Proceedings of the 1998 ACM SIGMOD international conference on Management of data,1998,developing a high traffic read only web site,john nauman ray suorsa,1178
539087cb20f70186a0d594f8,Information systems research at RWTH Aachen,Matthias Jarke,ACM SIGMOD Record,1995,information systems research at rwth aachen,matthias jarke,664
539087dd20f70186a0d6451b,Structural matching and discovery in document databases,"Jason Tsong-Li Wang, Dennis Shasha, George J. S. Chang, Liam Relihan, Kaizhong Zhang, Girish Patel",SIGMOD '97 Proceedings of the 1997 ACM SIGMOD international conference on Management of data,1997,structural matching and discovery in document databases,jason tsong li wang dennis shasha george j s chang liam relihan kaizhong zhang girish patel,1016
53909f8c20f70186a0e40206,"\"An electronic patient record \"\"on steroids\"\": distributed, peer-to-peer, secure and privacy-conscious\"","Serge Abiteboul, Bogdan Alexe, Omar Benjelloun, Bogdan Cautis, Irini Fundulaki, Tova Milo, Arnaud Sahuguet",VLDB '04 Proceedings of the Thirtieth international conference on Very large data bases - Volume 30,2004,an electronic patient record on steroids distributed peer to peer secure and privacy conscious,serge abiteboul bogdan alexe omar benjelloun bogdan cautis irini fundulaki tova milo arnaud sahuguet,585
5390881220f70186a0d7e2f4,Automatic segmentation of text into structured records,"Vinayak Borkar, Kaustubh Deshmukh, Sunita Sarawagi",SIGMOD '01 Proceedings of the 2001 ACM SIGMOD international conference on Management of data,2001,automatic segmentation of text into structured records,vinayak borkar kaustubh deshmukh sunita sarawagi,1653
539087dd20f70186a0d64516,The InfoSleuth Project,"R. J. Bayardo, Jr., W. Bohrer, R. Brice, A. Cichocki, J. Fowler, A. Halal, V. Kashyap, T. Ksiezyk, G. Martin, M. Nodine, M. Rashid, M. Rusinkiewicz, R. Shea, C. Unnikrishnan, A. Unruh, D. Woelk",SIGMOD '97 Proceedings of the 1997 ACM SIGMOD international conference on Management of data,1997,the infosleuth project,r j bayardo jr w bohrer r brice a cichocki j fowler a halal v kashyap t ksiezyk g martin m nodine m rashid m rusinkiewicz r shea c unnikrishnan a unruh d woelk,1007
5390980720f70186a0e03e98,Proceeedings of the 1st international workshop on Data management for sensor networks: in conjunction with VLDB 2004,"Alexandros Labrinidis, Samuel Madden",DMSN '04 Proceeedings of the 1st international workshop on Data management for sensor networks: in conjunction with VLDB 2004,2004,proceeedings of the 1st international workshop on data management for sensor networks in conjunction with vldb 2004,alexandros labrinidis samuel madden,225
539087f320f70186a0d6f88a,Hypertext databases and data mining,Soumen Chakrabarti,SIGMOD '99 Proceedings of the 1999 ACM SIGMOD international conference on Management of data,1999,hypertext databases and data mining,soumen chakrabarti,1301
5390972920f70186a0dfacb7,A formal analysis of information disclosure in data exchange,"Gerome Miklau, Dan Suciu",SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,a formal analysis of information disclosure in data exchange,gerome miklau dan suciu,26
53909f8c20f70186a0e3fe74,Efficient query processing for multi-dimensionally clustered tables in DB2,"Bishwaranjan Bhattacharjee, Sriram Padmanabhan, Timothy Malkemus, Tony Lai, Leslie Cranston, Matthew Huras",VLDB '03 Proceedings of the 29th international conference on Very large data bases - Volume 29,2003,efficient query processing for multi dimensionally clustered tables in db2,bishwaranjan bhattacharjee sriram padmanabhan timothy malkemus tony lai leslie cranston matthew huras,447
539087f320f70186a0d6f862,Efficient concurrency control for broadcast environments,"Jayavel Shanmugasundaram, Arvind Nithrakashyap, Rajendran Sivasankaran, Krithi Ramamritham",SIGMOD '99 Proceedings of the 1999 ACM SIGMOD international conference on Management of data,1999,efficient concurrency control for broadcast environments,jayavel shanmugasundaram arvind nithrakashyap rajendran sivasankaran krithi ramamritham,1289
53909f8c20f70186a0e401c6,Write-optimized B-trees,Goetz Graefe,VLDB '04 Proceedings of the Thirtieth international conference on Very large data bases - Volume 30,2004,write optimized b trees,goetz graefe,541
5390882d20f70186a0d8daca,Wavelet synopses with error guarantees,"Minos Garofalakis, Phillip B. Gibbons",Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,wavelet synopses with error guarantees,minos garofalakis phillip b gibbons,1810
5390881220f70186a0d7f812,Advances in real-time database systems research,Azer Bestavros,ACM SIGMOD Record,1996,advances in real time database systems research,azer bestavros,1723
53908a9720f70186a0da69fe,XBench - A Family of Benchmarks for XML DBMSs,"Benjamin B. Yao, M. Tamer Özsu, John Keenleyside",Proceedings of the VLDB 2002 Workshop EEXTT and CAiSE 2002 Workshop DTWeb on Efficiency and Effectiveness of XML Tools and Techniques and Data Integration over the Web-Revised Papers,2003,xbench a family of benchmarks for xml dbmss,benjamin b yao m tamer zsu john keenleyside,2461
53908a9620f70186a0da4cdc,"The ClustRa Telecom Database: High Availability, High Throughput, and Real-Time Response","Svein-Olaf Hvasshovd, Øystein Torbjørnsen, Svein Erik Bratsberg, Per Holager",VLDB '95 Proceedings of the 21th International Conference on Very Large Data Bases,1995,the clustra telecom database high availability high throughput and real time response,svein olaf hvasshovd ystein torbj rnsen svein erik bratsberg per holager,2279
539087cf20f70186a0d5d1c0,View maintenance issues for the chronicle data model (extended abstract),"H. V. Jagadish, Inderpal Singh Mumick, Abraham Silberschatz",PODS '95 Proceedings of the fourteenth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,1995,view maintenance issues for the chronicle data model extended abstract,h v jagadish inderpal singh mumick abraham silberschatz,731
53909f6920f70186a0e3a97f,Comparing data streams using Hamming norms (how to zero in),"Graham Cormode, Mayur Datar, Piotr Indyk, S. Muthukrishnan",VLDB '02 Proceedings of the 28th international conference on Very Large Data Bases,2002,comparing data streams using hamming norms how to zero in,graham cormode mayur datar piotr indyk s muthukrishnan,285
53908a7420f70186a0da4540,Resource Scheduling for Composite Multimedia Objects,"Minos N. Garofalakis, Yannis E. Ioannidis, Banu Özden",VLDB '98 Proceedings of the 24rd International Conference on Very Large Data Bases,1998,resource scheduling for composite multimedia objects,minos n garofalakis yannis e ioannidis banu zden,2117
5390882d20f70186a0d8daa9,Efficient evaluation of queries in a mediator for WebSources,"Vladimir Zadorozhny, Louiqa Raschid, Maria Esther Vidal, Tolga Urhan, Laura Bright",Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,efficient evaluation of queries in a mediator for websources,vladimir zadorozhny louiqa raschid maria esther vidal tolga urhan laura bright,1780
539087e720f70186a0d68415,Information systems research at George Mason University,"Sushil Jajodia, Daniel Barbará, Alex Brodsky, Larry Kerschberg, Ami Motro, Edgar Sibley, X. Sean Wang",ACM SIGMOD Record,1997,information systems research at george mason university,sushil jajodia daniel barbar alex brodsky larry kerschberg ami motro edgar sibley x sean wang,1071
5390981d20f70186a0e0499f,"The past, present and future of web information retrieval",Monika Henzinger,PODS '04 Proceedings of the twenty-third ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2004,the past present and future of web information retrieval,monika henzinger,238
5390972920f70186a0dfafa8,Horizontal aggregations for building tabular data sets,Carlos Ordonez,Proceedings of the 9th ACM SIGMOD workshop on Research issues in data mining and knowledge discovery,2004,horizontal aggregations for building tabular data sets,carlos ordonez,122
53908d6520f70186a0dd1a45,Panel: querying networked databases,"Nick Koudas, Divesh Srivastava",Proceedings of the 2003 ACM SIGMOD international conference on Management of data,2003,panel querying networked databases,nick koudas divesh srivastava,2771
5390881220f70186a0d7dbe2,Querying multi-dimensional data indexed using the Hilbert space-filling curve,"J. K. Lawder, P. J. H. King",ACM SIGMOD Record,2001,querying multi dimensional data indexed using the hilbert space filling curve,j k lawder p j h king,1590
53908a9620f70186a0da487c,Hypothetical Queries in an OLAP Environment,"Andrey Balmin, Thanos Papadimitriou, Yannis Papakonstantinou",VLDB '00 Proceedings of the 26th International Conference on Very Large Data Bases,2000,hypothetical queries in an olap environment,andrey balmin thanos papadimitriou yannis papakonstantinou,2255
53908a9620f70186a0da47db,Focused Crawling Using Context Graphs,"Michelangelo Diligenti, Frans Coetzee, Steve Lawrence, C. Lee Giles, Marco Gori",VLDB '00 Proceedings of the 26th International Conference on Very Large Data Bases,2000,focused crawling using context graphs,michelangelo diligenti frans coetzee steve lawrence c lee giles marco gori,2263
53908d6520f70186a0dd1a26,Using sets of feature vectors for similarity search on voxelized CAD objects,"Hans-Peter Kriegel, Stefan Brecheisen, Peer Kröger, Martin Pfeifle, Matthias Schubert",Proceedings of the 2003 ACM SIGMOD international conference on Management of data,2003,using sets of feature vectors for similarity search on voxelized cad objects,hans peter kriegel stefan brecheisen peer kr ger martin pfeifle matthias schubert,2780
539087e720f70186a0d6935e,Conjunctive-query containment and constraint satisfaction,"Phokion G. Kolaitis, Moshe Y. Vardi",PODS '98 Proceedings of the seventeenth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,1998,conjunctive query containment and constraint satisfaction,phokion g kolaitis moshe y vardi,1111
539087dd20f70186a0d634a1,Extraction of object-oriented structures from existing relational databases,"Shekar Ramanathan, Julia Hodges",ACM SIGMOD Record,1997,extraction of object oriented structures from existing relational databases,shekar ramanathan julia hodges,946
539087cf20f70186a0d5b536,Normalization in OODB design,Byung S. Lee,ACM SIGMOD Record,1995,normalization in oodb design,byung s lee,681
539087cf20f70186a0d5d01c,View maintenance in mobile computing,"Ouri Wolfson, Prasad Sistla, Son Dao, Kailash Narayanan, Ramya Raj",ACM SIGMOD Record,1995,view maintenance in mobile computing,ouri wolfson prasad sistla son dao kailash narayanan ramya raj,716
539087cf20f70186a0d5b53b,An introduction to Remy's fast polymorphic record projection,Limsoon Wong,ACM SIGMOD Record,1995,an introduction to remy s fast polymorphic record projection,limsoon wong,684
539087e720f70186a0d69699,CONTROL: continuous output and navigation technology with refinement on-line,"Ron Avnur, Joseph M. Hellerstein, Bruce Lo, Chris Olston, Bhaskaran Raman, Vijayshankar Raman, Tali Roth, Kirk Wylie",SIGMOD '98 Proceedings of the 1998 ACM SIGMOD international conference on Management of data,1998,control continuous output and navigation technology with refinement on line,ron avnur joseph m hellerstein bruce lo chris olston bhaskaran raman vijayshankar raman tali roth kirk wylie,1193
53908b2a20f70186a0db909b,OLAP++: Powerful and Easy-to-Use Federations of OLAP and Object Databases,"Junmin Gu, Torben Bach Pedersen, Arie Shoshani",VLDB '00 Proceedings of the 26th International Conference on Very Large Data Bases,2000,olap powerful and easy to use federations of olap and object databases,junmin gu torben bach pedersen arie shoshani,2476
5390958920f70186a0deec82,"Review of The data warehouse toolkit: the complete guide to dimensional modeling (2nd edition) by Ralph Kimball, Margy Ross. John Wiley & Sons, Inc. 2002.",Alexander A. Anisimov,ACM SIGMOD Record,2003,review of the data warehouse toolkit the complete guide to dimensional modeling 2nd edition by ralph kimball margy ross john wiley sons inc 2002,alexander a anisimov,2820
53908a7420f70186a0da4523,Expiring Data in a Warehouse,"Hector Garcia-Molina, Wilburt Labio, Jun Yang",VLDB '98 Proceedings of the 24rd International Conference on Very Large Data Bases,1998,expiring data in a warehouse,hector garcia molina wilburt labio jun yang,2046
53908a7420f70186a0da45ce,Materialized Views in Oracle,"Randall G. Bello, Karl Dias, Alan Downing, James J. Feenan, Jr., James L. Finnerty, William D. Norcott, Harry Sun, Andrew Witkowski, Mohamed Ziauddin",VLDB '98 Proceedings of the 24rd International Conference on Very Large Data Bases,1998,materialized views in oracle,randall g bello karl dias alan downing james j feenan jr james l finnerty william d norcott harry sun andrew witkowski mohamed ziauddin,2086
5390882d20f70186a0d8dae0,"COMMIX: towards effective web information extraction, integration and query answering","Tengjiao Wang, Shiwei Tang, Dongqing Yang, Jun Gao, Yuqing Wu, Jian Pei",Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,commix towards effective web information extraction integration and query answering,tengjiao wang shiwei tang dongqing yang jun gao yuqing wu jian pei,1868
539087eb20f70186a0d6a444,Repository system engineering,Pillip A. Bernstein,SIGMOD '96 Proceedings of the 1996 ACM SIGMOD international conference on Management of data,1996,repository system engineering,pillip a bernstein,1211
53909f8c20f70186a0e3fe4d,Processing sliding window multi-joins in continuous queries over data streams,"Lukasz Golab, M Tamer Özsu",VLDB '03 Proceedings of the 29th international conference on Very large data bases - Volume 29,2003,processing sliding window multi joins in continuous queries over data streams,lukasz golab m tamer zsu,417
5390880220f70186a0d77f87,"Some remarks on variable independence, closure, and orthographic dimension in constraint databases",Leonid Libkin,ACM SIGMOD Record,1999,some remarks on variable independence closure and orthographic dimension in constraint databases,leonid libkin,1544
53908b4920f70186a0dbabbc,Exploiting early sorting and early partitioning for decision support query processing,"J. Claussen, A. Kemper, D. Kossmann, C. Wiesner",The VLDB Journal — The International Journal on Very Large Data Bases,2000,exploiting early sorting and early partitioning for decision support query processing,j claussen a kemper d kossmann c wiesner,2581
53908a9620f70186a0da47df,Evolution of Groupware for Business Applications: A Database Perspective on Lotus Domino/Notes,"C. Mohan, Ron Barber, S. Watts, A. Somani, Markos Zaharioudakis",VLDB '00 Proceedings of the 26th International Conference on Very Large Data Bases,2000,evolution of groupware for business applications a database perspective on lotus domino notes,c mohan ron barber s watts a somani markos zaharioudakis,2269
539087f320f70186a0d6f7af,On two-dimensional indexability and optimal range search indexing,"Lars Arge, Vasilis Samoladas, Jeffrey Scott Vitter",PODS '99 Proceedings of the eighteenth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,1999,on two dimensional indexability and optimal range search indexing,lars arge vasilis samoladas jeffrey scott vitter,1262
539087d920f70186a0d5ff97,Towards effective and efficient free space management,"Mark L. McAuliffe, Michael J. Carey, Marvin H. Solomon",SIGMOD '96 Proceedings of the 1996 ACM SIGMOD international conference on Management of data,1996,towards effective and efficient free space management,mark l mcauliffe michael j carey marvin h solomon,862
5390972920f70186a0dfacc6,Automatic categorization of query results,"Kaushik Chakrabarti, Surajit Chaudhuri, Seung-won Hwang",SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,automatic categorization of query results,kaushik chakrabarti surajit chaudhuri seung won hwang,38
53909f8c20f70186a0e3fe51,Systematic development of data mining-based data quality tools,"Dominik Luebbers, Udo Grimmer, Matthias Jarke",VLDB '03 Proceedings of the 29th international conference on Very large data bases - Volume 29,2003,systematic development of data mining based data quality tools,dominik luebbers udo grimmer matthias jarke,408
558f395a0cf2af9ee80ebf61,The VLDB Journal — The International Journal on Very Large Data Bases,"",The VLDB Journal — The International Journal on Very Large Data Bases,1996,the vldb journal the international journal on very large data bases,"",2588
53908e0020f70186a0dd49be,Graph-based ranking algorithms for e-mail expertise analysis,"Byron Dom, Iris Eiron, Alex Cozzi, Yi Zhang",DMKD '03 Proceedings of the 8th ACM SIGMOD workshop on Research issues in data mining and knowledge discovery,2003,graph based ranking algorithms for e mail expertise analysis,byron dom iris eiron alex cozzi yi zhang,2798
53909f8c20f70186a0e401c0,GridDB: a data-centric overlay for scientific grids,"David T. Liu, Michael J. Franklin",VLDB '04 Proceedings of the Thirtieth international conference on Very large data bases - Volume 30,2004,griddb a data centric overlay for scientific grids,david t liu michael j franklin,549
539087e720f70186a0d69364,Decidability and undecidability results for the termination problem of active database rules,"James Bailey, Guozhu Dong, Kotagiri Ramamohanarao",PODS '98 Proceedings of the seventeenth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,1998,decidability and undecidability results for the termination problem of active database rules,james bailey guozhu dong kotagiri ramamohanarao,1113
539087d420f70186a0d5df24,Implementing crash recovery in QuickStore: a performance study,"Seth J. White, David J. DeWitt",SIGMOD '95 Proceedings of the 1995 ACM SIGMOD international conference on Management of data,1995,implementing crash recovery in quickstore a performance study,seth j white david j dewitt,756
53908a7420f70186a0da45e2,Aggregation Algorithms for Very Large Compressed Data Warehouses,"Jianzhong Li, Doron Rotem, Jaideep Srivastava",VLDB '99 Proceedings of the 25th International Conference on Very Large Data Bases,1999,aggregation algorithms for very large compressed data warehouses,jianzhong li doron rotem jaideep srivastava,2099
5390972920f70186a0dfac93,FARMER: finding interesting rule groups in microarray datasets,"Gao Cong, Anthony K. H. Tung, Xin Xu, Feng Pan, Jiong Yang",SIGMOD '04 Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,farmer finding interesting rule groups in microarray datasets,gao cong anthony k h tung xin xu feng pan jiong yang,49
539087d920f70186a0d5ff98,Rule languages and internal algebras for rule-based optimizers,"Mitch Cherniack, Stanley B. Zdonik",SIGMOD '96 Proceedings of the 1996 ACM SIGMOD international conference on Management of data,1996,rule languages and internal algebras for rule based optimizers,mitch cherniack stanley b zdonik,861
53908b4920f70186a0dbbf8c,How to quickly find a witness,"Daniel Kifer, Johannes Gehrke, Cristian Bucila, Walker White",Proceedings of the twenty-second ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2003,how to quickly find a witness,daniel kifer johannes gehrke cristian bucila walker white,2669
5390975920f70186a0dfe2ac,Database management for life sciences research,"H. V. Jagadish, Frank Olken",ACM SIGMOD Record,2004,database management for life sciences research,h v jagadish frank olken,155
53908a9620f70186a0da4e47,How System 11 SQL Server Became Fast,T. K. Rengarajan,VLDB '96 Proceedings of the 22th International Conference on Very Large Data Bases,1996,how system 11 sql server became fast,t k rengarajan,2360
53908a9620f70186a0da4d8a,"Very Large Databases: How Large, How Different?",David Vaskevitch,VLDB '95 Proceedings of the 21th International Conference on Very Large Data Bases,1995,very large databases how large how different,david vaskevitch,2417
5390881820f70186a0d8111a,The XML typechecking problem,Dan Suciu,ACM SIGMOD Record,2002,the xml typechecking problem,dan suciu,1745
558c2f9f612c2ba45fe95b9a,Editorial,"Peter Apers, Stefano Ceri, Richard Snodgrass",The VLDB Journal — The International Journal on Very Large Data Bases,2002,editorial,peter apers stefano ceri richard snodgrass,1991
558d34280cf2ffbd8570b757,The VLDB Journal — The International Journal on Very Large Data Bases,"",The VLDB Journal — The International Journal on Very Large Data Bases,1995,the vldb journal the international journal on very large data bases,"",1930
539087f320f70186a0d6f96c,"World Wide Database—integrating the Web, CORBA and databases","Athman Bouguettaya, Boualem Benatallah, Lily Hendra, James Beard, Kevin Smith, Mourad Quzzani",SIGMOD '99 Proceedings of the 1999 ACM SIGMOD international conference on Management of data,1999,world wide database integrating the web corba and databases,athman bouguettaya boualem benatallah lily hendra james beard kevin smith mourad quzzani,1358
53909f8c20f70186a0e401bf,Model-driven data acquisition in sensor networks,"Amol Deshpande, Carlos Guestrin, Samuel R. Madden, Joseph M. Hellerstein, Wei Hong",VLDB '04 Proceedings of the Thirtieth international conference on Very large data bases - Volume 30,2004,model driven data acquisition in sensor networks,amol deshpande carlos guestrin samuel r madden joseph m hellerstein wei hong,551
