paperId_acm,title_acm,authors_acm,venue_acm,year_acm
53e9b11db7602d9703b9ab51,order preserving encryption for numeric data,rakesh agrawal jerry kiernan ramakrishnan srikant yirong xu,sigmod conference,2004
53e9aebcb7602d97038e2a4e,finding hierarchical heavy hitters in data streams,graham cormode flip korn s muthukrishnan divesh srivastava,vldb,2003
53e9adb6b7602d97037b6b56,understanding web query interfaces best effort parsing with hidden syntax,zhen zhang bin he kevin chen chuan chang,sigmod conference,2004
53e9ab13b7602d970349777a,automatic categorization of query results,kaushik chakrabarti surajit chaudhuri seung won hwang,sigmod conference,2004
53e9ac82b7602d970365667d,optimization of query streams using semantic prefetching,ivan t bowman kenneth salem,sigmod conference,2004
53e99ad0b7602d97023502b2,cost based labeling of groups of mass spectra,lei chen 0003 zheng huang raghu ramakrishnan,sigmod conference,2004
53e9b7c7b7602d9704374e05,toward a progress indicator for database queries,gang luo jeffrey f naughton curt j ellmann michael watzke,sigmod conference,2004
53e9b31bb7602d9703de35ca,query sampling in db2 universal database,jarek gryz junjie guo linqi liu calisto zuzarte,sigmod conference,2004
53e9b275b7602d9703d18778,on the integration of structure indexes and inverted lists,raghav kaushik rajasekar krishnamurthy jeffrey f naughton raghu ramakrishnan,sigmod conference,2004
53e9b84ab7602d970440e66e,estimating progress of long running sql queries,surajit chaudhuri vivek r narasayya ravishankar ramamurthy,sigmod conference,2004
53e99bdcb7602d970248525b,when one sample is not enough improving text database selection using shrinkage,panagiotis g ipeirotis luis gravano,sigmod conference,2004
53e9a40eb7602d9702d26751,information theoretic tools for mining database structure from large data sets,periklis andritsos ren e j miller panayiotis tsaparas,sigmod conference,2004
53e9b40eb7602d9703f06558,vertical and horizontal percentage aggregations,carlos ordonez,sigmod conference,2004
53e9b923b7602d970450eb39,blas an efficient xpath processing system,yi chen 0001 susan b davidson yifeng zheng,sigmod conference,2004
53e9b0abb7602d9703b15178,farmer finding interesting rule groups in microarray datasets,gao cong anthony k h tung xin xu feng pan jiong yang,sigmod conference,2004
53e9b6eeb7602d9704284661,efficient processing of twig queries with or predicates,haifeng jiang hongjun lu wei wang 0011,sigmod conference,2004
53e9b844b7602d9704405a6d,requirements and policy challenges in highly secure environments,dean e hall,sigmod conference,2004
53e9b50bb7602d970403c777,load management and high availability in the medusa distributed stream processing system,magdalena balazinska hari balakrishnan michael stonebraker,sigmod conference,2004
53e9b091b7602d9703afbc94,streamon an adaptive engine for stream query processing,shivnath babu jennifer widom,sigmod conference,2004
53e9a627b7602d9702f5406b,maids mining alarming incidents from data streams,y dora cai david clutter greg pape jiawei han michael welge loretta auvil,sigmod conference,2004
53e998f6b7602d9702130587,web cam monitoring the dynamic web to respond to continual queries,shaveen garg krithi ramamritham soumen chakrabarti,sigmod conference,2004
53e9b2f5b7602d9703db51d5,pipes a public infrastructure for processing and exploring streams,j rgen kr mer bernhard seeger,sigmod conference,2004
5390972920f70186a0dface6,datamime,masum serazi vasily malakhov dongmei ren amal perera imad rahal weihua wu qiang ding fei pan william perrizo,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
53e9a210b7602d9702b16118,lexequal multilexical matching operator in sql,a kumaran jayant r haritsa,sigmod conference,2004
53e99a62b7602d97022ce2ad,managing healthcare data hippocratically,rakesh agrawal ameet kini kristen lefevre amy wang yirong xu diana zhou,sigmod conference,2004
5390972920f70186a0dfacf4,itqs an integrated transport query system,b huang z huang h li d lin h lu y song,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
53e9bc96b7602d970491374f,security of shared data in large systems state of the art and research directions,arnon rosenthal marianne winslett,sigmod conference,2004
5390972920f70186a0dface2,efficient development of data migration transformations,paulo carreira helena galhardas,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
53e9b45eb7602d9703f59be1,fa ade a fast and effective approach to the discovery of dense clusters in noisy spatial data,yu qian gang zhang kang zhang,sigmod conference,2004
53e9aa61b7602d97033d58bf,liquid data for weblogic integrating enterprise data and services,vinayak r borkar,sigmod conference,2004
53e9aff4b7602d9703a4b43e,camas a citizen awareness system for crisis mitigation,sharad mehrotra carter t butts dmitri v kalashnikov nalini venkatasubramanian kemal altintas ramaswamy hariharan haimin lee yiming ma amnon meyers jehan wickramasuriya ron eguchi charles huyck,sigmod conference,2004
53e9b884b7602d9704452a4d,knocking the door to the deep web integration of web query interfaces,bin he zhen zhang kevin chen chuan chang,sigmod conference,2004
53e9a7feb7602d970313d4d5,declarative specification of web applications exploiting web services and workflows,marco brambilla stefano ceri sara comai marco dario piero fraternali ioana manolescu,sigmod conference,2004
53e9b9a6b7602d97045987b1,yoo hoo building a presence service with xquery and wsdl,mary f fern ndez nicola onose j r me sim on,sigmod conference,2004
53e99ef4b7602d97027c1f5f,efficient set joins on similarity predicates,sunita sarawagi alok kirpal,sigmod conference,2004
53e99cdfb7602d9702592a9f,xml in the middle xquery in the weblogic platform,michael j carey,sigmod conference,2004
53e9a3d4b7602d9702ce7a34,service oriented bi towards tight integration of business intelligence into operational applications,marcus dill achim kraiss stefan sigg thomas zurek,sigmod conference,2004
53e99a98b7602d9702311bb6,information assurance technology challenges,nicholas j multari,sigmod conference,2004
53e9abbeb7602d970356de2c,dbswitch towards a database utility,shaul dar gil hecht eden shochat,sigmod conference,2004
53e9a5afb7602d9702edaae3,model driven business ui based on maps,per bendsen,sigmod conference,2004
5390972920f70186a0dfacd7,soundcompass a practical query by humming system normalization of scalable and shiftable time series data and effective subsequence generation,naoko kosugi yasushi sakurai masashi morimoto,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
53e9b489b7602d9703f8fe3d,enabling sovereign information sharing using web services,rakesh agrawal dmitri asonov ramakrishnan srikant,sigmod conference,2004
53e9a13fb7602d9702a2c882,secure reliable transacted innovation in web services architecture,martin gudgin,sigmod conference,2004
53e9a263b7602d9702b68f8b,highly available fault tolerant parallel dataflows,mehul a shah joseph m hellerstein eric a brewer,sigmod conference,2004
53e99de8b7602d97026a79e6,parallel sql execution in oracle 10g,thierry cruanes beno t dageville bhaskar ghosh,sigmod conference,2004
53e99c19b7602d97024c59ba,relaxed currency and consistency how to say good enough in sql,hongfei guo per ke larson raghu ramakrishnan jonathan goldstein,sigmod conference,2004
53e9b365b7602d9703e41ee0,building dynamic application networks with web services,matthew mihic,sigmod conference,2004
53e9b565b7602d970409df92,hosting the net runtime in microsoft sql server,alazel acheson mason bendixen jos a blakeley peter carlin ebru ersan jun fang xiaowei jiang christian kleinerman balaji rathakrishnan gideon schaller beysim sezgin ramachandran venkatesh honggang zhang,sigmod conference,2004
5390972920f70186a0dfacd3,models for web services tansactions,mark little,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
53e9aa9cb7602d9703413318,business modelling using sql spreadsheets,andrew witkowski srikanth bellamkonda tolga bozkaya nathan folkert abhinav gupta lei sheng sankar subramanian,vldb,2003
53e9acfdb7602d97036d9a2b,query processing for sql updates,c sar a galindo legaria stefano stefani florian waas,sigmod conference,2004
53e9ae2eb7602d9703842dff,secure xml querying with security views,wenfei fan chee yong chan minos n garofalakis,sigmod conference,2004
53e998b8b7602d97020f14ec,joining interval data in relational databases,jost enderle matthias hampel thomas seidl,sigmod conference,2004
53e99cc9b7602d970257be45,sina scalable incremental processing of continuous queries in spatio temporal databases,mohamed f mokbel xiaopeng xiong walid g aref,sigmod conference,2004
53e9acbdb7602d970369d43d,cords automatic discovery of correlations and soft functional dependencies,ihab f ilyas volker markl peter j haas paul brown ashraf aboulnaga,sigmod conference,2004
53e9abbfb7602d97035713f9,robust query processing through progressive optimization,volker markl vijayshankar raman david e simmen guy m lohman hamid pirahesh,sigmod conference,2004
53e9a02db7602d9702912fc5,prediction and indexing of moving objects with unknown motion patterns,yufei tao christos faloutsos dimitris papadias bin liu 0002,sigmod conference,2004
53e99e0cb7602d97026d20d8,stripes an efficient index for predicted trajectories,jignesh m patel yun chen v prasad chakka,sigmod conference,2004
53e9ac22b7602d97035e5820,canonical abstraction for outerjoin optimization,jun rao hamid pirahesh calisto zuzarte,sigmod conference,2004
53e9b98ab7602d970457cb15,the price of validity in dynamic networks,mayank bawa aristides gionis hector garcia molina rajeev motwani,sigmod conference,2004
53e9a9a2b7602d97033030d8,static optimization of conjunctive queries with sliding windows over infinite streams,ahmed ayad jeffrey f naughton,sigmod conference,2004
53e9a6aeb7602d9702fe424c,adapting to source properties in processing data integration queries,zachary g ives alon y halevy daniel s weld,sigmod conference,2004
53e9a19bb7602d9702a9189c,constraint based xml query rewriting for data integration,cong yu lucian popa,sigmod conference,2004
53e99ed1b7602d970279a364,clustering objects on a spatial network,man lung yiu nikos mamoulis,sigmod conference,2004
53e9b35ab7602d9703e3903b,dynamic plan migration for continuous queries over data streams,yali zhu elke a rundensteiner george t heineman,sigmod conference,2004
53e9ba64b7602d9704682420,incremental evaluation of schema directed xml publishing,philip bohannon peter buneman byron choi wenfei fan,sigmod conference,2004
53e9b45eb7602d9703f5ce0d,incremental and effective data summarization for dynamic hierarchical clustering,samer nassar j rg sander corrine cheng,sigmod conference,2004
53e9a0adb7602d9702997364,implementing a scalable xml publish subscribe system using a relational database system,feng tian berthold reinwald hamid pirahesh tobias mayr jussi myllymaki,sigmod conference,2004
53e99b0ab7602d970239bda1,adaptive ordering of pipelined stream filters,shivnath babu rajeev motwani kamesh munagala itaru nishizawa jennifer widom,sigmod conference,2004
53e9babab7602d97046eaffe,incremental maintenance of xml structural indexes,ke yi hao he ioana stanoi jun yang 0001,sigmod conference,2004
53e9ba6ab7602d970468d643,tools for design of composite web services,richard hull jianwen su,sigmod conference,2004
53e99a98b7602d970231120a,indexing and mining streams,christos faloutsos,sigmod conference,2004
53e9b581b7602d97040c03b2,fast algorithms for time series with applications to finance physics music biology and other suspects,alberto lerner dennis shasha zhihua wang xiaojian zhao yunyue zhu,sigmod conference,2004
53e99924b7602d970215ef60,rethinking the conference reviewing process panel,michael j franklin jennifer widom gerhard weikum philip a bernstein alon y halevy david j dewitt anastassia ailamaki zachary g ives,sigmod conference,2004
53e9a281b7602d9702b88666,bodhi a database habitat for bio diversity information,srikanta j bedathur abhijit kadlag jayant r haritsa,sigmod conference,2004
53e9b1afb7602d9703c3a7c2,a texquery based xml full text search engine,chavdar botev jayavel shanmugasundaram sihem amer yahia,sigmod conference,2004
53e9b4abb7602d9703fba31d,ordpaths insert friendly xml node labels,patrick e o neil elizabeth j o neil shankar pal istvan cseri gideon schaller nigel westbury,sigmod conference,2004
53e9af12b7602d970394ca6e,share your data keep your secrets,irini fundulaki arnaud sahuguet,sigmod conference,2004
53e9b042b7602d9703aa139e,xseq an index infrastructure for tree pattern queries,xiaofeng meng yu jiang yan chen haixun wang,sigmod conference,2004
53e99fd0b7602d97028aed9b,support for relaxed currency and consistency constraints in mtcache,hongfei guo per ke larson raghu ramakrishnan jonathan goldstein,sigmod conference,2004
53e9b634b7602d970418ce3b,an indexing framework for peer to peer systems,adina crainiceanu prakash linga ashwin machanavajjhala johannes gehrke jayavel shanmugasundaram,sigmod conference,2004
53e9b9a0b7602d9704590907,p2p diet an extensible p2p service that unifies ad hoc and continuous querying in super peer networks,stratos idreos manolis koubarakis christos tryfonopoulos,sigmod conference,2004
5390972920f70186a0dfacec,querying at internet scale,brent chun joseph m hellerstein ryan huebsch shawn r jeffery boon thau loo sam mardanbeigi timothy roscoe sean rhea scott shenker ion stoica,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
5390972920f70186a0dfafa3,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,gautam das bing liu philip s yu,9th acm sigmod workshop on research issues in data mining and knowledge discovery 2004 (co-located with sigmod/pods 2004 conference),2004
5390972920f70186a0dfafac,an associative classifier based on positive and negative rules,maria luiza antonie osmar r za ane,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004
5390972920f70186a0dfafae,discovery of ads web hosts through traffic data analysis,v bacarella f giannotti m nanni d pedreschi,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004
5390972920f70186a0dfafad,cofi approach for mining frequent itemsets revisited,mohammad el hajj osmar r za ane,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004
5390972920f70186a0dfafa8,horizontal aggregations for building tabular data sets,carlos ordonez,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004
5390972920f70186a0dfafa5,iterative record linkage for cleaning and integration,indrajit bhattacharya lise getoor,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004
5390972920f70186a0dfafa6,privacy preserving data integration and sharing,chris clifton murat kantarcio lu anhai doan gunther schadow jaideep vaidya ahmed elmagarmid dan suciu,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004
5390972920f70186a0dfafab,fp tax tree structure based generalized association rule mining,iko pramudiono masaru kitsuregawa,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004
5390972920f70186a0dfafa9,discovering spatial patterns accurately with effective noise removal,yu qian kang zhang,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004
5390972920f70186a0dfafaa,diagonally subgraphs pattern mining,moti cohen ehud gudes,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004
5390972920f70186a0dfafa7,mining association rules with non uniform privacy concerns,yi xia yirong yang yun chi,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004
5390972920f70186a0dfafa4,mining complex matchings across web query interfaces,bin he kevin chen chuan chang jiawei han,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004
5390975920f70186a0dfc97d,querying bi level information,sudarshan murthy david maier lois delcambre,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
5390975920f70186a0dfc97e,visualizing and discovering web navigational patterns,jiyang chen lisheng sun osmar r za ane randy goebel,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
5390975920f70186a0dfc982,semantic multicast for content based stream dissemination,olga papaemmanouil u ur etintemel,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
5390975920f70186a0dfc985,best match querying from document centric xml,jaap kamps maarten marx maarten de rijke b rkur sigurbj rnsson,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
5390975920f70186a0dfc98b,checking potential validity of xml documents,ionut e iacob alex dekhtyar michael i dekhtyar,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
5390975920f70186a0dfc980,querying peer to peer networks using p trees,adina crainiceanu prakash linga johannes gehrke jayavel shanmugasundaram,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
5390975920f70186a0dfc97f,one torus to rule them all multi dimensional queries in p2p systems,prasanna ganesan beverly yang hector garcia molina,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
5390975920f70186a0dfc983,twig query processing over graph structured xml data,zografoula vagena mirella m moro vassilis j tsotras,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
5390975920f70186a0dfc988,mining approximate functional dependencies and concept similarities to answer imprecise queries,ullas nambiar subbarao kambhampati,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
5390975920f70186a0dfc989,dtds versus xml schema a practical study,geert jan bex frank neven jan van den bussche,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
5390975920f70186a0dfc987,content and structure in indexing and ranking xml,felix weigel holger meuss klaus u schulz fran ois bry,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
5390975920f70186a0dfc98a,on validation of xml streams using finite state machines,cristiana chitic daniela rosu,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
5390975920f70186a0dfc986,challenges in selecting paths for navigational queries trade off of benefit of path versus cost of plan,mar a esther vidal louiqa raschid julian mestre,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
5390975920f70186a0dfc97c,spam damn spam and statistics using statistical analysis to locate spam web pages,dennis fetterly mark manasse marc najork,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
5390975920f70186a0dfc981,scalable dissemination what s hot and what s not,jonathan beaver nicholas morsillo kirk pruhs panos k chrysanthis vincenzo liberatore,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
5390975920f70186a0dfc984,unraveling the duplicate elimination problem in xml to sql query translation,rajasekar krishnamurthy raghav kaushik jeffrey f naughton,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
5390975920f70186a0dfdc0c,text centric structure extraction and exploitation abstract only,prabhakar raghavan,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
5590e1730cf2baaad9717854,the vldb journal the international journal on very large data bases,,the vldb journal — the international journal on very large data bases,2004
53e9aaa3b7602d970341c212,best papers of vldb 2003,johann christoph freytag serge abiteboul michael j carey,vldb j.,2004
53e9b648b7602d97041a4baa,automatic integration of web search interfaces with wise integrator,hai he weiyi meng clement t yu zonghuan wu,vldb j.,2004
53e99a52b7602d97022ba714,adaptive unsupervised stream mining,spiros papadimitriou anthony brockwell christos faloutsos,vldb j.,2004
53e9afcdb7602d9703a21cb7,supporting top k join queries in relational databases,ihab f ilyas walid g aref ahmed k elmagarmid,vldb,2003
53e99f18b7602d97027e30cd,preserving mapping consistency under schema changes,yannis velegrakis ren e j miller lucian popa,vldb j.,2004
53e9a101b7602d97029ec4b7,exploring the tradeoff between performance and data freshness in database driven web servers,alexandros labrinidis nick roussopoulos,vldb j.,2004
5390975920f70186a0dfe2ab,life science research and data management what can they give each other,amarnath gupta,acm sigmod record,2004
53e9b33eb7602d9703e145a9,database management for life sciences research,h v jagadish frank olken,sigmod record,2004
53e9bdacb7602d9704a5afe4,an optimal algorithm for querying tree structures and its applications in bioinformatics,hsiao fei liu ya hui chang kun mao chao,sigmod record,2004
5390975920f70186a0dfe2b4,a distributed database for bio molecular images,ambuj k singh b s manjunath robert f murphy,acm sigmod record,2004
53e9bd8cb7602d9704a32626,bio ajax an extensible framework for biological data cleaning,katherine g herbert narain h gehani william h piel jason tsong li wang cathy h wu,sigmod record,2004
53e99938b7602d9702179229,piers an efficient model for similarity search in dna sequence databases,xia cao shuai cheng li beng chin ooi anthony k h tung,sigmod record,2004
53e9a1aeb7602d9702aa56f1,biofast challenges in exploring linked life science sources,jens bleiholder zo lacroix hyma murthy felix naumann louiqa raschid maria esther vidal,sigmod record,2004
5390975920f70186a0dfe2bb,review of managing gigabytes compressing and indexing documents and images by ian h witten alistair moffat and timothy c bell morgan kauffman 1999 519 pp isbn 1558605703,s v nagaraj,acm sigmod record,2004
5390975920f70186a0dfe2b9,jeffrey naughton speaks out on database systems as control freaks how to choose students how to choose problems how to get attention the importance of being true to yourself and more,marianne winslett,acm sigmod record,2004
53e9aa48b7602d97033b72fe,introducing an annotated bibliography on temporal and evolution aspects in the world wide web,fabio grandi,sigmod record,2004
53e99cc1b7602d9702573d7d,book review database tuning principles experiments and troubleshooting techniques by dennis shasha and philippe bonnet,nancy hartline bercich,sigmod record,2004
53e9a335b7602d9702c3bf4a,an early look at xquery api for java xqj,andrew eisenberg jim melton,sigmod record,2004
5590e04a0cf25001c36efa09,reminiscences on influential papers,kenneth a ross,acm sigmod record,2004
53e9b2dbb7602d9703d91bc7,edbt04 workshop on database technologies for handling xml information on the web,marco mesiti barbara catania giovanna guerrini akmal b chaudhri,sigmod record,2004
53e9bcd2b7602d9704956f2b,issues in mechanical engineering design management,dave hislop zo lacroix gerald moeller,sigmod record,2004
53e9b66cb7602d97041d02a6,automatic composite wrapper generation for semi structured biological data based on table structure identification,liangyou chen hasan m jamil nan wang 0002,sigmod record,2004
53e9bb15b7602d970475279c,spatial temporal and spatio temporal databases hot issues and directions for phd research,john f roddick max j egenhofer erik g hoel dimitris papadias betty salzberg,sigmod record,2004
53e9bacfb7602d97046fc002,using reasoning to guide annotation with gene ontology terms in goat,michael bada daniele turi robin mcentire robert stevens,sigmod record,2004
5390975920f70186a0dfe2b1,the genalg project developing a new integrating data model language and tool for managing and querying genomic information,joachim hammer markus schneider,acm sigmod record,2004
53e9af46b7602d9703986ab6,managing and analyzing carbohydrate data,kiyoko f aoki nobuhisa ueda atsuko yamaguchi tatsuya akutsu minoru kanehisa hiroshi mamitsuka,sigmod record,2004
5590cf4f0cf25001c36eeff7,acm sigmod record,,acm sigmod record,2004
53e9afb3b7602d9703a008d3,logic based web information extraction,georg gottlob christoph koch,sigmod record,2004
53e9979eb7602d9701f6e878,branding yourself,richard t snodgrass merrie brucks,sigmod record,2004
53e9aabdb7602d970343b0bc,mobile databases a selection of open issues and research directions,guy bernard jalel ben othman luc bouganim g r me canals sophie chabridon bruno defude jean ferri st phane gan arski rachid guerraoui pascal molli philippe pucheral claudia roncancio patricia serrano alvarado patrick valduriez,sigmod record,2004
53e9b59ab7602d97040dd25b,the bea streaming xquery processor,daniela florescu chris hillery donald kossmann paul lucas fabio riccardi till westmann michael j carey arvind sundararajan,vldb j.,2004
558e0b600cf2e6675805097a,acm sigmod record,,acm sigmod record,2004
53e9a55cb7602d9702e84b64,civedi a customized virtual environment for database interaction,pietro mazzoleni elisa bertino elena ferrari stefano valtolina,sigmod record,2004
53e99d7ab7602d970263389b,a denotational semantics for continuous queries over streams and relations,arvind arasu jennifer widom,sigmod record,2004
53e9a635b7602d9702f636c2,an evaluation of xml indexes for structural join,hanyu li mong li lee wynne hsu chao chen,sigmod record,2004
5390979920f70186a0dffb85,semantically enriched web services for the travel industry,a dogac y kabak g laleci s sinir a yildiz s kirbas y gurcan,acm sigmod record,2004
53e9aeebb7602d9703917def,optimization of data stream processing,janusz r getta ehsan vossough,sigmod record,2004
53e99938b7602d9702178a2d,report on the 3rd web dynamics workshop at www 2004,mark levene alexandra poulovassilis,sigmod record,2004
53e9a627b7602d9702f57d83,report on the workshop on metadata management in grid and peer to peer systems london december 16 2003,kevin keenoy alexandra poulovassilis vassilis christophides george loizou giorgos kokkinidis george samaras nicolas spyratos,sigmod record,2004
53e9a958b7602d97032aef11,structured databases on the web observations and implications,kevin chen chuan chang bin he chengkai li mitesh patel zhen zhang,sigmod record,2004
53e9b79fb7602d97043462ac,integration of biological sources current systems and challenges ahead,thomas hernandez subbarao kambhampati,sigmod record,2004
53e99a49b7602d97022acf07,advancements in sql xml,andrew eisenberg jim melton,sigmod record,2004
53e99a78b7602d97022e901f,nestream querying nested streams,damianos chatziantoniou achilleas anagnostopoulos,sigmod record,2004
53e9b1d1b7602d9703c6192a,report on the 9th acm symposium on access control models and technologies sacmmat 04,elena ferrari,sigmod record,2004
53e9a6bcb7602d9702ff26e4,a read only transaction anomaly under snapshot isolation,alan fekete elizabeth j o neil patrick e o neil,sigmod record,2004
558ce80de4b0bb3102a0c8ac,reminiscences on influential papers,kenneth a ross,acm sigmod record,2004
5390979920f70186a0dffb88,phil bernstein speaks out on trends at industrial research labs what metadata management products need peculiarities of the tenure sytem how to fix the problems with database research conferences and more,marianne winslett,acm sigmod record,2004
