index_acm,paperId_acm,title_acm,authors_acm,venue_acm,year_acm
74,5390972920f70186a0dfacd8,model driven business ui based on maps,per bendsen,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
75,5390972920f70186a0dfacd7,soundcompass a practical query by humming system normalization of scalable and shiftable time series data and effective subsequence generation,naoko kosugi yasushi sakurai masashi morimoto,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
76,5390972920f70186a0dfacd4,enabling sovereign information sharing using web services,rakesh agrawal dmitri asonov ramakrishnan srikant,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
77,5390972920f70186a0dfacd6,secure reliable transacted innovation in web services architecture,martin gudgin,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
78,5390972920f70186a0dfaccc,highly available fault tolerant parallel dataflows,mehul a shah joseph m hellerstein eric brewer,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
79,5390972920f70186a0dfaccf,parallel sql execution in oracle 10g,thierry cruanes benoit dageville bhaskar ghosh,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
80,5390972920f70186a0dfaccb,relaxed currency and consistency how to say good enough in sql,hongfei guo per ke larson raghu ramakrishnan jonathan goldstein,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
81,5390972920f70186a0dfacd5,building dynamic application networks with web services,matthew mihic,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
82,5390972920f70186a0dfacd1,hosting the net runtime in microsoft sql server,alazel acheson mason bendixen jos a blakeley peter carlin ebru ersan jun fang xiaowei jiang christian kleinerman balaji rathakrishnan gideon schaller beysim sezgin ramachandran venkatesh honggang zhang,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
83,5390972920f70186a0dfacd3,models for web services tansactions,mark little,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
85,5390972920f70186a0dfacce,query processing for sql updates,c sar a galindo legaria stefano stefani florian waas,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
86,5390972920f70186a0dfacb8,secure xml querying with security views,wenfei fan chee yong chan minos garofalakis,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
87,5390972920f70186a0dfacc0,joining interval data in relational databases,jost enderle matthias hampel thomas seidl,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
88,5390972920f70186a0dfacbb,sina scalable incremental processing of continuous queries in spatio temporal databases,mohamed f mokbel xiaopeing xiong walid g aref,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
89,5390972920f70186a0dfacbd,cords automatic discovery of correlations and soft functional dependencies,ihab f ilyas volker markl peter haas paul brown ashraf aboulnaga,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
91,5390972920f70186a0dfacba,prediction and indexing of moving objects with unknown motion patterns,yufei tao christos faloutsos dimitris papadias bin liu,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
92,5390972920f70186a0dfacbc,stripes an efficient index for predicted trajectories,jignesh m patel yun chen v prasad chakka,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
93,5390972920f70186a0dfacbf,canonical abstraction for outerjoin optimization,jun rao hamid pirahesh calisto zuzarte,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
94,5390972920f70186a0dfacb2,the price of validity in dynamic networks,mayank bawa aristides gionis hector garcia molina rajeev motwani,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
95,5390972920f70186a0dfacaa,static optimization of conjunctive queries with sliding windows over infinite streams,ahmed m ayad jeffrey f naughton,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
96,5390972920f70186a0dfaca8,adapting to source properties in processing data integration queries,zachary g ives alon y halevy daniel s weld,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
97,5390972920f70186a0dfaca6,constraint based xml query rewriting for data integration,cong yu lucian popa,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
98,5390972920f70186a0dfacac,clustering objects on a spatial network,man lung yiu nikos mamoulis,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
99,5390972920f70186a0dfacab,dynamic plan migration for continuous queries over data streams,yali zhu elke a rundensteiner george t heineman,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
100,5390972920f70186a0dfacb1,incremental evaluation of schema directed xml publishing,philip bohannon byron choi wenfei fan,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
101,5390972920f70186a0dfacae,incremental and effective data summarization for dynamic hierarchical clustering,samer nassar j rg sander corrine cheng,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
102,5390972920f70186a0dfacaf,implementing a scalable xml publish subscribe system using relational database systems,feng tian berthold reinwald hamid pirahesh tobias mayr jussi myllymaki,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
103,5390972920f70186a0dfaca9,adaptive ordering of pipelined stream filters,shivnath babu rajeev motwani kamesh munagala itaru nishizawa jennifer widom,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
104,5390972920f70186a0dfacb0,incremental maintenance of xml structural indexes,ke yi hao he ioana stanoi jun yang,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
105,5390972920f70186a0dfacf8,tools for design of composite web services,richard hull jianwen su,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
106,5390972920f70186a0dfacfb,indexing and mining streams,christos faloutsos,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
107,5390972920f70186a0dfacfa,fast algorithms for time series with applications to finance physics music biology and other suspects,alberto lerner dennis shasha zhihua wang xiaojian zhao yunyue zhu,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
108,5390972920f70186a0dfacf7,rethinking the conference reviewing process,michael j franklin jennifer widom anastassia ailamaki philip a bernstein david dewitt alon halevy zachary ives gerhard weikum,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
109,5390972920f70186a0dfacf5,bodhi a database habitat for bio diversity information,srikanta j bedathur abhijit kadlag jayant r haritsa,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
110,5390972920f70186a0dfacf0,a texquery based xml full text search engine,chavdar botev sihem amer yahia jayavel shanmugasundaram,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
111,5390972920f70186a0dfacde,ordpaths insert friendly xml node labels,patrick o neil elizabeth o neil shankar pal istvan cseri gideon schaller nigel westbury,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
112,5390972920f70186a0dfacf1,share your data keep your secrets,irini fundulaki arnaud sahuguet,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
113,5390972920f70186a0dfacef,xseq an indexing infrastructure for tree pattern queries,xiaofeng meng yu jiang yan chen haixun wang,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
114,5390972920f70186a0dfaced,support for relaxed currency and consistency constraints in mtcache,hongfei guo per ke larson raghu ramakrishnan jonathan goldstein,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
115,5390972920f70186a0dfacee,an indexing framework for peer to peer systems,adina crainiceanu prakash linga ashwin machanavajjhala johannes gehrke jayavel shanmugasundaram,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
116,5390972920f70186a0dfaceb,p2p diet an extensible p2p service that unifies ad hoc and continuous querying in super peer networks,stratos idreos manolis koubarakis christos tryfonopoulos,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
117,5390972920f70186a0dfacec,querying at internet scale,brent chun joseph m hellerstein ryan huebsch shawn r jeffery boon thau loo sam mardanbeigi timothy roscoe sean rhea scott shenker ion stoica,sigmod '04 proceedings of the 2004 acm sigmod international conference on management of data,2004
118,5390972920f70186a0dfafa3,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,gautam das bing liu philip s yu,9th acm sigmod workshop on research issues in data mining and knowledge discovery 2004 (co-located with sigmod/pods 2004 conference),2004
119,5390972920f70186a0dfafac,an associative classifier based on positive and negative rules,maria luiza antonie osmar r za ane,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004
120,5390972920f70186a0dfafae,discovery of ads web hosts through traffic data analysis,v bacarella f giannotti m nanni d pedreschi,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004
121,5390972920f70186a0dfafad,cofi approach for mining frequent itemsets revisited,mohammad el hajj osmar r za ane,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004
122,5390972920f70186a0dfafa8,horizontal aggregations for building tabular data sets,carlos ordonez,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004
123,5390972920f70186a0dfafa5,iterative record linkage for cleaning and integration,indrajit bhattacharya lise getoor,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004
124,5390972920f70186a0dfafa6,privacy preserving data integration and sharing,chris clifton murat kantarcio lu anhai doan gunther schadow jaideep vaidya ahmed elmagarmid dan suciu,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004
125,5390972920f70186a0dfafab,fp tax tree structure based generalized association rule mining,iko pramudiono masaru kitsuregawa,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004
126,5390972920f70186a0dfafa9,discovering spatial patterns accurately with effective noise removal,yu qian kang zhang,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004
127,5390972920f70186a0dfafaa,diagonally subgraphs pattern mining,moti cohen ehud gudes,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004
128,5390972920f70186a0dfafa7,mining association rules with non uniform privacy concerns,yi xia yirong yang yun chi,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004
129,5390972920f70186a0dfafa4,mining complex matchings across web query interfaces,bin he kevin chen chuan chang jiawei han,proceedings of the 9th acm sigmod workshop on research issues in data mining and knowledge discovery,2004
130,5390975920f70186a0dfc97d,querying bi level information,sudarshan murthy david maier lois delcambre,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
131,5390975920f70186a0dfc97e,visualizing and discovering web navigational patterns,jiyang chen lisheng sun osmar r za ane randy goebel,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
132,5390975920f70186a0dfc982,semantic multicast for content based stream dissemination,olga papaemmanouil u ur etintemel,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
133,5390975920f70186a0dfc985,best match querying from document centric xml,jaap kamps maarten marx maarten de rijke b rkur sigurbj rnsson,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
134,5390975920f70186a0dfc98b,checking potential validity of xml documents,ionut e iacob alex dekhtyar michael i dekhtyar,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
135,5390975920f70186a0dfc980,querying peer to peer networks using p trees,adina crainiceanu prakash linga johannes gehrke jayavel shanmugasundaram,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
136,5390975920f70186a0dfc97f,one torus to rule them all multi dimensional queries in p2p systems,prasanna ganesan beverly yang hector garcia molina,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
137,5390975920f70186a0dfc983,twig query processing over graph structured xml data,zografoula vagena mirella m moro vassilis j tsotras,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
138,5390975920f70186a0dfc988,mining approximate functional dependencies and concept similarities to answer imprecise queries,ullas nambiar subbarao kambhampati,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
139,5390975920f70186a0dfc989,dtds versus xml schema a practical study,geert jan bex frank neven jan van den bussche,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
140,5390975920f70186a0dfc987,content and structure in indexing and ranking xml,felix weigel holger meuss klaus u schulz fran ois bry,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
141,5390975920f70186a0dfc98a,on validation of xml streams using finite state machines,cristiana chitic daniela rosu,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
142,5390975920f70186a0dfc986,challenges in selecting paths for navigational queries trade off of benefit of path versus cost of plan,mar a esther vidal louiqa raschid julian mestre,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
143,5390975920f70186a0dfc97c,spam damn spam and statistics using statistical analysis to locate spam web pages,dennis fetterly mark manasse marc najork,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
144,5390975920f70186a0dfc981,scalable dissemination what s hot and what s not,jonathan beaver nicholas morsillo kirk pruhs panos k chrysanthis vincenzo liberatore,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
145,5390975920f70186a0dfc984,unraveling the duplicate elimination problem in xml to sql query translation,rajasekar krishnamurthy raghav kaushik jeffrey f naughton,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
146,5390975920f70186a0dfdc0c,text centric structure extraction and exploitation abstract only,prabhakar raghavan,proceedings of the 7th international workshop on the web and databases: colocated with acm sigmod/pods 2004,2004
147,5590e1730cf2baaad9717854,the vldb journal the international journal on very large data bases,,the vldb journal — the international journal on very large data bases,2004
148,5390975920f70186a0dfe096,best papers of vldb 2003,johann christoph freytag serge abiteboul mike carey,the vldb journal — the international journal on very large data bases,2004
149,5390975920f70186a0dfe094,automatic integration of web search interfaces with wise integrator,hai he weiyi meng clement yu zonghuan wu,the vldb journal — the international journal on very large data bases,2004
150,5390975920f70186a0dfe097,adaptive unsupervised stream mining,spiros papadimitriou anthony brockwell christos faloutsos,the vldb journal — the international journal on very large data bases,2004
152,5390975920f70186a0dfe099,preserving mapping consistency under schema changes,yannis velegrakis j miller lucian popa,the vldb journal — the international journal on very large data bases,2004
153,5390975920f70186a0dfe098,exploring the tradeoff between performance and data freshness in database driven web servers,alexandros labrinidis nick roussopoulos,the vldb journal — the international journal on very large data bases,2004
154,5390975920f70186a0dfe2ab,life science research and data management what can they give each other,amarnath gupta,acm sigmod record,2004
155,5390975920f70186a0dfe2ac,database management for life sciences research,h v jagadish frank olken,acm sigmod record,2004
156,5390975920f70186a0dfe2ad,an optimal algorithm for querying tree structures and its applications in bioinformatics,hsiao fei liu ya hui chang kun mao chao,acm sigmod record,2004
157,5390975920f70186a0dfe2b4,a distributed database for bio molecular images,ambuj k singh b s manjunath robert f murphy,acm sigmod record,2004
158,5390975920f70186a0dfe2b2,bio ajax an extensible framework for biological data cleaning,katherine g herbert narain h gehani william h piel jason t l wang cathy h wu,acm sigmod record,2004
