idx1,idx2
2713,2015
2415,860
921,130
2589,1198
1065,525
2260,1107
2698,323
2839,1201
625,495
165,739
1868,1535
957,1089
950,2133
1701,1772
684,149
624,512
1201,789
2488,997
1956,2119
439,624
446,519
2362,834
2712,1068
443,463
2861,652
1061,633
366,485
2231,1387
2881,257
1541,2145
2126,849
1261,290
185,36
423,847
2505,1905
2174,2034
2023,589
2282,1873
396,848
420,976
1237,2137
2485,862
168,58
2580,2038
2509,1340
1494,1362
2270,829
567,1911
2063,593
2219,611
2518,1173
2613,1181
2079,1476
2817,422
1679,1771
1882,144
2866,314
37,1816
2244,910
2728,959
1564,104
2846,2119
2286,1149
666,14
1744,169
2856,1544
2016,1567
923,178
2228,1157
1401,890
2038,1568
2630,1335
2384,1400
2263,2049
1398,29
2494,1423
2395,2060
333,809
1530,40
1224,1956
2629,1301
473,1125
723,748
1917,728
1349,1964
2042,1891
1075,641
155,412
2221,846
1236,1390
103,1834
653,251
1232,867
1071,2117
149,1778
2822,150
2772,1497
422,1132
1678,1990
2187,1867
2849,754
440,627
2082,474
433,853
307,1158
2889,166
1581,84
467,1561
2418,823
417,1164
2820,429
2284,1129
2552,1294
2062,1137
2237,909
2489,837
2871,2070
31,1491
2130,1146
864,768
628,905
1504,1744
2307,1465
2350,465
1369,1545
883,339
292,1332
2778,1534
2784,1241
504,814
1565,157
1948,1211
1234,407
2131,2086
2872,1303
2788,1080
2025,1552
2726,1370
585,1058
2127,1455
2585,1781
2009,1850
2339,449
1697,945
2163,452
296,1426
2109,1155
414,1418
1895,637
2210,1466
1214,949
1028,678
1877,889
2888,869
2141,1874
1887,8
1169,1943
1406,85
2273,1885
471,450
178,1113
2112,839
2828,1194
1392,634
2054,1019
2774,1079
804,1817
944,107
1733,38
92,1072
780,547
95,1841
2281,354
2132,1988
1556,71
2753,1517
2637,1342
2806,333
1794,1067
1826,1773
102,1749
1183,1263
725,2142
1078,725
1829,364
559,1557
2315,486
455,453
2037,249
1648,962
2139,1428
2705,2105
2060,906
2898,1224
1816,788
665,252
2591,2073
461,193
2047,926
2208,1554
36,1892
2832,1354
2007,1914
407,1017
2776,964
1849,281
1890,53
609,599
152,2080
76,1267
2825,1206
1915,123
2586,1287
2693,632
2195,355
2004,824
2291,1002
1710,727
429,1273
1370,255
2322,594
1574,142
498,1120
667,111
78,1931
2198,908
216,710
11,1998
637,245
1548,102
2271,1894
114,554
1939,2094
8,2006
2146,2020
1886,403
1172,767
1390,172
2558,2085
2830,1497
1332,1520
1561,67
2400,987
404,1029
1296,1839
2735,1973
931,155
2725,1820
715,759
434,517
1906,670
494,238
1827,562
199,1229
937,700
2750,779
2789,1939
2199,1844
717,2107
395,2056
169,437
2358,510
1729,753
678,677
176,732
308,622
2544,1171
1840,826
170,99
451,792
418,615
1213,2017
2706,573
2183,1057
2312,942
2868,113
2583,1112
330,1562
2595,1351
1984,416
1832,961
685,46
1603,2134
918,755
786,1996
2777,1768
2393,610
2809,259
2515,1209
2855,267
2253,1101
2326,1845
2621,1204
2048,1571
1904,287
2493,1032
1087,378
108,94
1955,639
2110,247
180,384
2528,1174
2815,692
2641,1293
376,1440
1584,271
2755,762
1508,1831
322,1446
1979,433
2411,844
442,2036
2437,200
2752,477
1693,1745
70,1359
561,1596
1490,1507
86,1488
958,1767
159,367
2167,2028
2387,2031
293,2023
282,1497
586,1908
93,1746
1873,66
622,612
2780,1278
1069,25
2292,1460
1989,1193
2251,1055
485,620
476,800
56,1934
212,1922
1484,1384
493,457
2021,1895
1737,2136
351,939
378,604
2250,913
2876,328
1943,1291
91,1082
2197,915
1747,534
945,152
1399,359
1779,1812
661,285
1748,368
2011,1007
2606,1338
631,1035
2690,756
1162,2098
1374,395
2600,1202
2718,965
1523,760
1545,290
58,960
1706,881
2434,1556
1869,1518
2524,1341
1080,432
1317,1836
1532,714
463,1143
2201,1344
2013,1000
375,1043
2355,1114
87,1515
2874,1184
184,630
1704,551
2808,308
509,1100
1672,1501
579,1573
2506,1175
2747,1237
1060,341
1889,694
1890,101
690,1538
391,195
221,2120
2348,1450
679,719
1898,1924
2202,1103
2848,726
2739,1493
495,494
2523,1050
2316,464
44,571
2159,234
798,1955
507,988
969,1958
2480,1056
1712,2123
1944,1197
1719,32
167,650
2399,851
2085,1563
338,1407
207,2119
45,1828
594,838
2500,1024
424,1595
604,479
35,1490
2142,1437
2185,989
203,27
2035,1166
32,1498
358,207
1557,531
2551,1325
200,1203
1734,19
2036,357
107,1096
419,1856
1675,1933
2122,1161
2703,123
1817,1235
830,1962
2180,240
1838,476
392,460
2116,605
1882,374
2691,139
1684,1971
2070,1899
454,469
2416,442
2440,920
1381,118
97,1376
1396,884
2634,2075
2592,2078
729,313
1389,63
299,1897
187,380
1713,15
2157,931
2033,1575
51,1929
2481,516
879,741
877,143
6,1755
658,1388
2235,840
20,764
284,1039
1478,790
354,236
2541,1189
1961,735
2001,807
1718,1916
2818,140
2625,2081
2609,1319
375,900
641,497
430,1482
2117,577
2144,185
2196,2038
2439,978
1918,717
2860,109
2842,1223
2123,489
2843,1983
482,584
789,1266
2405,602
1178,566
1968,685
2719,1529
2829,2074
776,1811
457,1011
2215,575
2309,1607
79,1775
326,1588
693,69
2491,981
1380,891
2583,2088
941,332
2819,392
2737,1750
2886,338
105,568
2870,1232
151,1172
2241,1475
2571,1350
2285,205
398,941
2426,595
2856,408
617,985
350,1395
1857,1835
1688,565
281,598
2101,488
399,1004
2238,493
1010,2097
36,1073
2570,1208
788,1997
171,1540
2481,2075
1986,1049
2522,1783
2100,2090
1572,887
1163,1483
435,515
605,438
372,1893
2635,2087
1841,765
1300,791
943,675
272,507
84,456
2363,180
2347,1404
2652,1343
2577,1169
1560,327
2562,1305
2377,212
809,1977
2172,194
656,2149
2845,731
2885,372
1987,1329
2111,1112
2135,1469
919,131
2097,1456
1861,132
17,1504
397,1846
664,160
1784,2140
1375,400
2000,1886
1750,664
797,1978
1336,1963
94,1942
472,582
513,1108
1353,1270
2738,552
109,1819
2694,78
2424,217
2764,1076
2317,1030
1909,683
2301,1436
620,1597
2626,445
1914,882
2216,1449
2170,1639
821,1492
218,115
22,361
2296,1468
2121,1881
2351,1111
2096,1006
373,416
390,477
714,170
1902,335
2357,1036
2375,797
1076,885
2628,1327
209,24
2376,1907
876,436
2308,473
1254,1146
1587,16
1934,1292
2813,702
1960,153
2529,1185
2236,1606
1808,1960
2517,1188
529,1118
2834,1309
1959,264
2158,1147
2612,1317
1647,1345
1576,876
111,1372
2106,812
77,2138
214,2143
2765,1838
1180,1936
689,423
2762,1503
2512,1328
2053,1982
1588,81
999,561
813,1374
2200,1870
197,1226
456,1113
421,863
470,459
1708,253
2287,1586
401,1564
115,769
112,1932
436,1884
2,1363
28,1537
2090,923
2538,1315
1537,1915
1978,574
2072,2050
444,795
1393,715
1311,1814
1923,880
1903,413
2504,1047
2545,1048
2099,998
1287,1204
2851,165
993,1373
2423,1421
2772,1346
2272,1410
1724,1541
483,991
1796,784
1711,43
2714,549
2901,1314
2105,1609
2716,1268
640,1435
1965,703
2209,1558
2298,2044
2748,560
2366,1397
1079,34
2865,47
409,855
394,466
2897,1288
18,946
2584,1178
2836,1170
386,2052
1797,1966
2103,208
2311,911
562,1581
997,1509
68,780
2372,1012
2155,1014
1637,1088
886,136
2497,2067
1544,752
2899,1323
2741,1380
149,1132
537,490
1214,180
888,424
807,1253
412,1892
1894,289
59,1481
1819,2101
2065,1110
2560,1318
25,557
724,679
1875,60
1823,772
2140,893
2179,821
2083,480
1407,318
2782,1477
468,456
16,1234
2880,76
2882,122
289,201
2895,734
649,1123
2564,2068
1085,643
2403,918
2246,446
1547,179
327,856
2756,1837
4,553
198,1321
2321,2030
1852,360
2877,396
1824,1358
2711,363
486,1104
1915,2119
2027,1128
73,763
1980,2113
1466,1074
1896,2119
74,1523
2703,377
2563,2060
2604,2061
1745,381
2729,1948
688,2
2407,621
1372,405
2190,973
2601,1776
2573,2064
2696,2134
2259,1904
1531,411
163,22
2602,1196
2579,1212
2736,1280
1839,1937
1977,302
2692,284
1229,35
517,1906
1949,1300
30,1818
2462,478
1956,377
2863,300
2417,1122
1925,138
2182,1605
2031,1328
2043,1153
2757,1957
1855,55
1571,296
2230,1551
2111,2088
2563,1431
2427,1277
173,270
1534,713
2383,924
405,1141
2578,1176
1818,1774
61,1573
2830,1346
38,1747
2352,1842
210,73
2395,1431
753,766
1238,286
2373,2022
1573,397
2274,444
2114,226
2846,377
634,1582
2189,521
2039,927
487,1010
647,1413
182,387
343,197
799,1379
1665,1759
677,729
1963,648
1371,736
2638,1231
948,37
920,877
1582,30
164,305
43,2001
1820,1255
39,1478
2143,447
1975,82
27,1252
99,1357
2858,671
1935,2093
0,2007
2391,1447
2520,2086
2743,1377
1590,2108
1674,1513
2175,1980
1942,1220
519,225
2280,518
1586,366
2413,818
477,1396
1585,2127
2340,1471
98,1521
156,415
2647,1227
2569,1307
2088,1879
546,583
1900,673
2388,1888
2319,1909
2283,1434
1402,638
2385,1603
158,2126
2890,2125
2057,2043
2028,1463
2137,1864
7,1970
2402,1115
2837,1043
1173,1070
1068,1542
2520,2046
2010,483
2304,1869
1485,783
1073,21
403,455
148,1168
2751,1282
466,511
933,162
2771,1991
2864,4
2626,1344
71,2102
1793,1383
1882,674
2511,1784
2160,803
1936,1324
53,1765
2709,1247
787,1760
2328,1555
885,174
2436,576
795,1075
2081,2041
2419,235
691,321
2546,1215
2344,936
2017,578
348,1271
1168,781
2723,969
1077,370
686,448
613,1138
55,1813
2500,1984
425,2026
478,1852
2892,0
949,2147
1379,159
1836,1832
1837,1239
610,2021
106,1993
2041,1419
2092,603
1787,1953
2854,660
1388,1389
721,293
2550,1780
66,1479
2473,1452
2717,1260
720,2124
1412,173
34,786
1857,1462
1492,775
761,970
1893,72
2359,1565
1575,1052
2242,2040
1795,1994
2474,481
1806,2008
1799,544
462,929
881,95
2397,1294
2787,782
42,1753
1074,651
40,2057
2058,1023
1669,1965
638,592
2133,513
2325,454
2125,514
2089,591
2770,1218
2512,1448
1926,304
934,724
113,2009
1791,1284
942,26
1497,2005
1964,2114
1456,1536
1583,365
521,504
2310,1862
2073,1131
1161,1251
1792,1764
2617,1352
10,1762
1850,2119
657,297
2186,203
2247,600
1716,331
2754,1949
1945,1322
2196,2072
21,944
1250,652
606,816
2268,901
576,1876
1739,291
2318,614
2051,1559
374,1610
2232,587
524,628
1834,1951
416,802
2148,542
929,690
65,1524
1990,491
2707,1071
2066,607
1514,804
364,601
2605,1302
175,419
2080,1026
2513,2076
2879,103
2136,1981
2552,1142
468,1071
2410,1853
52,1506
2269,1584
2227,1587
951,262
2543,1042
2761,1386
2859,874
2161,199
2783,1242
1938,1187
84,2100
2811,523
820,2104
1850,377
2478,619
12,776
1871,1375
2086,1034
1789,1979
2553,2082
89,2019
2369,1857
1314,1928
412,1073
2201,445
1981,176
2299,1276
2873,1777
1928,57
1347,950
489,1599
353,506
2374,1167
2239,979
1735,2119
692,93
2371,2037
2651,1044
2389,1569
2265,1008
151,469
2324,1133
1990,1782
465,1473
1021,873
191,2109
2479,899
1984,139
2360,1887
67,1935
2586,1146
2773,1238
2607,1205
2052,1855
1842,2018
1027,758
1908,278
1722,1054
2878,742
13,1833
1858,53
927,712
204,88
718,430
2634,516
2378,940
719,631
939,146
445,1560
614,2012
2614,2092
2649,1295
63,1508
882,527
1859,738
2561,1195
2343,1467
1685,972
464,229
727,50
815,2004
393,820
48,556
2102,1394
2710,1250
1833,1098
357,1139
2844,1320
2252,1408
196,2079
2536,1180
1735,377
2727,1283
1810,1840
621,928
24,2106
2176,1008
2422,246
2535,1355
2093,1912
2031,1448
2574,2077
1549,105
195,1304
458,896
2194,1159
2502,1312
2008,2029
1988,1333
2645,2091
96,1954
930,2116
481,977
1638,1829
1741,530
2841,1225
1400,92
2695,878
2168,1398
2486,596
1814,1371
2404,190
2293,588
2022,1027
1746,311
2807,435
2044,907
1404,52
2697,11
2379,1018
82,947
796,1751
608,239
427,1130
2067,904
1373,163
745,1826
2261,625
1837,563
935,1923
1179,1236
2249,921
1957,1917
2397,1142
802,1757
1956,123
2024,1984
2131,2046
2382,1399
2156,827
497,1013
601,841
884,375
2386,471
579,1496
422,1778
946,98
2484,2039
185,121
501,219
1483,545
160,414
506,822
2337,541
1,956
1813,1480
72,1078
46,1062
1395,687
2266,916
207,377
431,206
33,1257
1130,1533
1233,722
2078,1457
3,1499
2264,1849
2170,938
590,1151
456,1336
533,509
668,145
413,858
1896,123
2846,123
1822,968
438,2032
2069,1784
682,177
415,2048
503,2053
2534,2062
307,1309
368,242
1510,1752
2138,799
515,1608
2814,385
441,1901
2091,1868
2834,1158
2682,1289
1084,667
2730,1976
150,1213
1862,1361
548,1464
352,478
1730,279
2732,1486
2646,1190
1884,86
468,2100
1723,747
2124,798
186,320
2279,2025
2731,1368
2006,1866
2243,503
2414,1553
2853,691
1732,701
2045,932
2345,1574
803,1261
1498,1823
2542,1041
1518,1243
1749,129
1922,20
1932,1233
1290,1766
1731,425
1235,258
2290,1880
1352,550
1983,538
1999,482
994,1084
2365,845
2701,13
2760,1761
2257,1140
801,2099
2203,1025
2840,1353
2752,1240
2020,796
752,1281
50,1763
2151,498
475,1003
1825,971
2580,2072
1858,101
1920,686
2852,666
2222,499
2816,743
1081,301
116,1083
1351,1064
1144,1754
2234,859
1969,295
484,1600
19,1500
2128,2045
447,1425
474,215
1709,721
2333,585
2074,590
1815,1827
192,394
1580,324
2267,244
1958,657
2733,1821
2334,540
1907,2129
2030,250
177,75
1921,91
2475,613
450,1415
1853,751
2398,1453
1166,952
1209,1830
2633,1040
1024,737
659,87
2636,1230
1830,1066
1495,1527
2015,186
2075,237
2702,106
2084,1117
2565,2063
1062,695
2145,1598
626,1454
41,1824
428,543
2248,1443
642,1411
1566,2146
2749,1967
2744,1256
1860,943
2380,1854
925,261
1835,1249
1864,1950
2691,416
320,810
1182,1485
968,967
499,1162
2370,832
2408,1124
1160,1847
607,1109
1821,546
1391,2130
2329,198
1539,688
2046,1135
492,475
460,937
2331,233
2438,975
953,2014
1885,533
1410,654
1413,659
2575,1330
1409,2122
1288,785
2549,1987
2323,183
449,1154
1562,886
385,580
2847,2152
1230,268
2812,77
1666,2016
848,1505
1333,1927
880,181
1559,698
402,492
480,1580
2548,1306
2118,1577
380,487
1528,1748
1866,1514
2192,1913
432,919
2162,586
662,684
961,2000
1568,89
2521,1296
1966,256
1838,1239
47,774
2262,1422
2441,1424
1721,317
2367,1889
716,128
373,139
1207,567
153,2058
2508,2083
782,2013
1844,1285
2165,1865
